asset,cost,model,initial_balance_usd,risk_percent,candidate_trades,executed_trades,skipped_min_lot,executable_fraction,final_balance_usd,return_percent,maximum_balance_drawdown_percent,mean_monthly_return_percent,risk_budget_breaches,worst_realized_loss_over_budget,ruined
xauusd,base,lorentzian,3000,1,745,720,25,0.9664429530201343,2190.017800735894,-26.99940664213687,35.36660450314413,-0.7842694114870136,1,1.601101905493765,False
xauusd,base,logistic,3000,1,207,205,2,0.9903381642512077,2945.415042355932,-1.819498588135593,15.997464012707836,0.010749680695483127,0,0.9977447970299078,False
xauusd,base,prior,3000,1,19,19,0,1.0,3022.5299115681396,0.7509970522713294,5.16219051203775,0.024974384347216334,0,0.9621913429078088,False
xauusd,stress,lorentzian,3000,1,743,698,45,0.9394347240915208,1736.97779541914,-42.10074015269534,46.03021084424913,-1.5267368754331785,1,1.660229235546323,False
xauusd,stress,logistic,3000,1,207,205,2,0.9903381642512077,2737.557784929953,-8.748073835668235,20.08474832138965,-0.22078338531080544,0,0.9978812082148519,False
xauusd,stress,prior,3000,1,19,19,0,1.0,3005.541911568114,0.18473038560380406,5.608607178705203,0.007524091133444898,0,0.991281654914935,False
sp500,base,lorentzian,3000,1,688,688,0,1.0,5525.573710024956,84.1857903341652,24.485390127772398,2.2282094043149843,8,1.1840175523995167,False
sp500,base,logistic,3000,1,299,299,0,1.0,2695.595753712928,-10.14680820956907,23.78489334506741,-0.2487933980527544,2,5.393302381801744,False
sp500,base,prior,3000,1,6,6,0,1.0,3153.84526970551,5.128175656850331,0.9997205104001192,0.1606939091447801,0,0.9997205104001252,False
sp500,stress,lorentzian,3000,1,689,689,0,1.0,3692.5049813756914,23.08349937918972,29.518869584290147,0.9326477385288398,9,1.2209954402717236,False
sp500,stress,logistic,3000,1,299,299,0,1.0,2508.0903001176484,-16.396989996078382,26.766423112935694,-0.46979381093376543,2,1.0381436745978443,False
sp500,stress,prior,3000,1,6,6,0,1.0,3148.9251603025346,4.964172010084478,0.9948386203603723,0.15566666916938954,0,0.9948386203603794,False
