asset,cost,model,year,calendar_weeks,trades,trades_per_week,total_r,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,total_r_ex_top10
sp500,base,logistic,2024,52.285714285714285,59,1.1284153005464481,7.957102154811852,0.13486613821715004,-1.0000000000000184,0.3898305084745763,1.2210306154114312,6.01374631752308,-26.744280985576687
sp500,base,logistic,2025,52.142857142857146,172,3.298630136986301,-16.821288290022906,-0.09779818773269132,-1.000000000000019,0.3430232558139535,0.8567203523894775,19.275812627724928,-68.43995887850679
sp500,base,logistic,2026,34.714285714285715,68,1.9588477366255144,2.3414004190580355,0.03443235910379464,-1.0000000000000133,0.4117647058823529,1.0585350104764488,9.233611332231286,-24.463757776052606
sp500,base,lorentzian,2024,52.285714285714285,265,5.0683060109289615,23.454637544764992,0.08850806620666035,-1.0000000000000209,0.37735849056603776,1.1424529210720655,14.421281066730561,-39.562498386236555
sp500,base,lorentzian,2025,52.142857142857146,265,5.082191780821917,31.635651128357697,0.11937981557870829,-1.0000000000000109,0.4075471698113208,1.2020527114452737,17.85333016538178,-24.67521674568557
sp500,base,lorentzian,2026,34.714285714285715,158,4.5514403292181065,17.676501498820308,0.11187659176468549,-1.0000000000000102,0.36075949367088606,1.1746720618848485,24.832932084376502,-46.68033313214715
sp500,base,prior,2025,52.142857142857146,4,0.07671232876712328,1.2748081367675907,0.3187020341918977,0.1605627397603464,0.75,2.2748081367675432,1.0000000000000373,0.0
sp500,base,prior,2026,34.714285714285715,2,0.05761316872427984,3.8831860795220092,1.9415930397610046,1.9415930397610046,0.5,4.883186079521814,1.0000000000000502,0.0
sp500,stress,logistic,2024,52.285714285714285,59,1.1284153005464481,5.6218847620044,0.09528618240685423,-1.000000000000009,0.3728813559322034,1.1556074853130371,6.1323001900153,-27.882177604392023
sp500,stress,logistic,2025,52.142857142857146,172,3.298630136986301,-20.358878007813487,-0.11836556981286911,-1.0000000000000133,0.32558139534883723,0.8245108466663311,22.370214812528964,-70.98540343813377
sp500,stress,logistic,2026,34.714285714285715,68,1.9588477366255144,0.6733684916769382,0.009902477818778503,-1.0000000000000073,0.4117647058823529,1.0168342122919232,9.482078526126486,-25.501262592345757
sp500,stress,lorentzian,2024,52.285714285714285,265,5.0683060109289615,6.6863696281529315,0.025231583502463892,-1.000000000000017,0.3584905660377358,1.0393763589291847,16.269975541594278,-54.554365864677635
sp500,stress,lorentzian,2025,52.142857142857146,265,5.082191780821917,21.935596349324914,0.08277583528047137,-1.0000000000000058,0.39622641509433965,1.137451371630464,21.112980413575666,-36.23999117119536
sp500,stress,lorentzian,2026,34.714285714285715,159,4.580246913580247,3.185206807867349,0.0200327472192915,-1.000000000000007,0.34591194968553457,1.030555180254393,27.61957987378272,-55.13818654101816
sp500,stress,prior,2025,52.142857142857146,4,0.07671232876712328,1.1928912394437083,0.2982228098609271,0.1421303255994963,0.75,2.1928912394436675,1.000000000000034,0.0
sp500,stress,prior,2026,34.714285714285715,2,0.05761316872427984,3.804694389203643,1.9023471946018216,1.9023471946018216,0.5,4.804694389203471,1.0000000000000453,0.0
xauusd,base,logistic,2024,52.285714285714285,86,1.644808743169399,-10.328703527766654,-0.12010120381124016,-0.9999999999999769,0.3488372093023256,0.8119598303541422,15.604079121169786,-41.0126819772972
xauusd,base,logistic,2025,52.142857142857146,81,1.5534246575342465,4.22816951831493,0.05219962368290037,-0.9999999999999682,0.43209876543209874,1.0919076369972458,17.255974382642073,-30.158468116197685
xauusd,base,logistic,2026,34.714285714285715,40,1.1522633744855966,10.69549276280581,0.26738731907014524,-0.9999999999999942,0.475,1.5093091791812148,7.050391525550971,-17.010596748093434
xauusd,base,lorentzian,2024,52.285714285714285,285,5.450819672131147,-15.564848706318479,-0.05461350423269642,-0.9999999999999658,0.38596491228070173,0.9109672543596852,40.0187785389787,-69.73664631595744
xauusd,base,lorentzian,2025,52.142857142857146,281,5.389041095890411,-6.52557023854957,-0.023222669888076763,-0.9999999999999736,0.4128113879003559,0.9599530688141444,21.418364204506133,-54.85685087203297
xauusd,base,lorentzian,2026,34.714285714285715,179,5.156378600823045,-10.388574625187744,-0.0580367297496522,-1.000000000000004,0.3854748603351955,0.9055585161246997,24.211414849216162,-51.59824497360162
xauusd,base,prior,2024,52.285714285714285,7,0.13387978142076504,-2.3578423035259144,-0.33683461478941634,-1.000000000000009,0.42857142857142855,0.4105394241185317,3.060034732740794,0.0
xauusd,base,prior,2025,52.142857142857146,10,0.1917808219178082,1.2953637905304398,0.129536379053044,-0.999999999999976,0.4,1.2158939650884075,3.3539192457475497,0.0
xauusd,base,prior,2026,34.714285714285715,2,0.05761316872427984,2.5816528635669305,1.2908264317834652,1.2908264317834652,1.0,,0.0,0.0
xauusd,stress,logistic,2024,52.285714285714285,86,1.644808743169399,-17.389577523551477,-0.20220438980873812,-1.000000000000013,0.32558139534883723,0.6947271554481331,21.819794070531657,-46.36365579316998
xauusd,stress,logistic,2025,52.142857142857146,81,1.5534246575342465,1.4095168939031608,0.017401443134606925,-0.999999999999999,0.41975308641975306,1.029989721146875,17.780583919488134,-31.93816495013887
xauusd,stress,logistic,2026,34.714285714285715,40,1.1522633744855966,10.131106203876685,0.25327765509691713,-0.9999999999999856,0.475,1.4824336287560274,7.104813023632378,-17.259940000464713
xauusd,stress,lorentzian,2024,52.285714285714285,283,5.412568306010929,-35.106383281109316,-0.12405082431487391,-1.0000000000000018,0.36395759717314485,0.8048205398664138,50.38729778629883,-84.97834498558711
xauusd,stress,lorentzian,2025,52.142857142857146,281,5.389041095890411,-13.149079398337747,-0.04679387686241191,-1.0000000000000002,0.4092526690391459,0.9198237995103965,25.774431692875943,-60.32513154653713
xauusd,stress,lorentzian,2026,34.714285714285715,179,5.156378600823045,-13.35419745327828,-0.07460445504624737,-0.9999999999999942,0.37988826815642457,0.8796945788524693,25.96537068405754,-53.968324153649306
xauusd,stress,prior,2024,52.285714285714285,7,0.13387978142076504,-2.5780970612325977,-0.3682995801760854,-1.0000000000000608,0.42857142857142855,0.3554757346918933,3.214202935682227,0.0
xauusd,stress,prior,2025,52.142857142857146,10,0.1917808219178082,0.9518321420076705,0.09518321420076706,-1.0000000000000049,0.4,1.1586386903346066,3.5208699220874973,0.0
xauusd,stress,prior,2026,34.714285714285715,2,0.05761316872427984,2.5113915123693396,1.2556957561846698,1.2556957561846698,1.0,,0.0,0.0
