asset,model,year,rows,coverage,accuracy_abstention_incorrect,covered_accuracy,brier,flat_targets,short_forecasts,short_precision,short_recall,long_forecasts,long_precision,long_recall,balanced_accuracy_abstention_miss
xauusd,lorentzian,all,31506,0.7615057449374723,0.3906240081254364,0.5129626542180727,0.5717293928140672,3,9888,0.4742111650485437,0.31839478508861274,14104,0.5401304594441293,0.45410109680495947,0.3862479409467861
xauusd,lorentzian,2024,11855,0.7617882749894559,0.3873471109236609,0.5084708227217363,0.5746968578658794,1,3613,0.45696097425961807,0.3032139577594123,5418,0.5428202288667405,0.4588859416445623,0.3810499497019873
xauusd,lorentzian,2025,11816,0.7622714962762356,0.3929417738659445,0.5154879538137005,0.5711164945836155,2,3412,0.4604337631887456,0.29206172150957427,5595,0.5490616621983915,0.4773892773892774,0.3847254994494258
xauusd,lorentzian,2026,7835,0.7599234205488195,0.39208679004467134,0.5159556600604636,0.5681636885768986,0,2863,0.5123995808592385,0.37586471944657956,3091,0.5192494338401812,0.40818921668362157,0.39202696806510057
xauusd,logistic,all,31506,1.0,0.5307243064813052,0.5307243064813052,0.4993528349620743,3,7085,0.49611856033874385,0.238677259455422,24421,0.5407640964743459,0.7871959942775394,0.5129366268664807
xauusd,logistic,2024,11855,1.0,0.5384226064951497,0.5384226064951497,0.497533557168731,1,2196,0.49408014571949,0.1992653810835629,9659,0.5485039859198675,0.8266500234045873,0.5129577022440751
xauusd,logistic,2025,11816,1.0,0.5310595802301964,0.5310595802301964,0.5000076183383566,2,1366,0.44143484626647145,0.1121026213050753,10450,0.5427751196172249,0.8814296814296815,0.4967661513673784
xauusd,logistic,2026,7835,1.0,0.5185705169112955,0.5185705169112955,0.5011180701715106,0,3523,0.518592108998013,0.46810146041506534,4312,0.5185528756957328,0.5686673448626653,0.5183844026388653
xauusd,prior,all,31506,0.9975242810893163,0.5337396051545737,0.5350642738958891,0.49803690093215364,3,4246,0.5094206311822892,0.1468730902424119,27182,0.5390699727761018,0.8734501669051026,0.5101616285737572
xauusd,prior,2024,11855,0.998059890341628,0.5370729649936735,0.5381169709263015,0.4974712711106779,1,304,0.45394736842105265,0.02534435261707989,11528,0.5403365718251214,0.9719144952410672,0.49862942392907356
xauusd,prior,2025,11816,0.9975457007447529,0.5410460392687881,0.5423771952150674,0.4975809284019778,2,110,0.37272727272727274,0.007622234616099646,11677,0.5439753361308556,0.9871017871017871,0.4973620108589434
xauusd,prior,2026,7835,0.9966815571155073,0.5176770899808552,0.5194006915097964,0.4995803997132835,0,3832,0.5177453027139874,0.5083269280040994,3977,0.5209957254211718,0.5269582909460834,0.5176426094750914
sp500,lorentzian,all,31312,0.7699284619315279,0.391543178334185,0.508544881367181,0.5785112337123147,43,9495,0.4620326487625066,0.30528879610299237,14613,0.538766851433655,0.4658855553583052,0.3855871757306488
sp500,lorentzian,2024,11737,0.7778819119025304,0.4013802504899037,0.5159912376779847,0.5774101133168612,21,3362,0.46222486615110053,0.2928208027133974,5768,0.5473300970873787,0.4925885473552816,0.3927046750343395
sp500,lorentzian,2025,11718,0.763952892985151,0.39238777948455367,0.5136282394995532,0.571964605734767,10,3659,0.4689805957911998,0.3168389955686854,5293,0.5444927262422067,0.458041958041958,0.3874404768053217
sp500,lorentzian,2026,7857,0.7669593992618048,0.3755886470663103,0.4897112512446067,0.5899198167239404,12,2474,0.45149555375909456,0.30627913353441183,3552,0.5163288288288288,0.4368747022391615,0.3715769178867867
sp500,logistic,all,31312,1.0,0.5282319877363311,0.5282319877363311,0.5012900882747231,43,3599,0.44984717977215893,0.11266527487821851,27713,0.5384115757947534,0.8829516539440203,0.4978084644111194
sp500,logistic,2024,11737,1.0,0.5388088949476016,0.5388088949476016,0.5004047718967484,21,687,0.438136826783115,0.05671754286791031,11050,0.5450678733031674,0.9397721953502887,0.4982448691090995
sp500,logistic,2025,11718,1.0,0.5219320703191671,0.5219320703191671,0.5006164585309634,10,1776,0.45045045045045046,0.14771048744460857,9942,0.5347012673506337,0.8448823903369358,0.4962964388907722
sp500,logistic,2026,7857,1.0,0.5218276695939926,0.5218276695939926,0.5036172553443001,12,1136,0.45598591549295775,0.1420345489443378,6721,0.5329564052968309,0.8532634587899,0.49764900386711886
sp500,prior,all,31312,0.9993293306080736,0.536152273888605,0.5365120961298776,0.4989857361888263,43,1488,0.46639784946236557,0.04829505915100905,29803,0.5400127503942556,0.9523640452097757,0.5003295521803923
sp500,prior,2024,11737,1.0,0.5460509499872199,0.5460509499872199,0.4980063782736994,21,0,,0.0,11737,0.5460509499872199,1.0,0.5
sp500,prior,2025,11718,0.9990612732548216,0.5327700972862264,0.5332706927479286,0.4986161488530388,10,991,0.4783047426841574,0.08751846381093058,10716,0.5383538633818589,0.9168785759694851,0.5021985198902078
sp500,prior,2026,7857,0.9987272495863562,0.5264095710831106,0.5270804128966484,0.5009999334970361,12,497,0.4426559356136821,0.060323553605703316,7350,0.5327891156462585,0.932825154835636,0.49657435422066964
