asset,model,forecast,truth,rows
xauusd,lorentzian,-1,-1,4689
xauusd,lorentzian,-1,1,5199
xauusd,lorentzian,0,-1,3554
xauusd,lorentzian,0,0,1
xauusd,lorentzian,0,1,3959
xauusd,lorentzian,1,-1,6484
xauusd,lorentzian,1,0,2
xauusd,lorentzian,1,1,7618
xauusd,logistic,-1,-1,3515
xauusd,logistic,-1,1,3570
xauusd,logistic,1,-1,11212
xauusd,logistic,1,0,3
xauusd,logistic,1,1,13206
xauusd,prior,-1,-1,2163
xauusd,prior,-1,0,1
xauusd,prior,-1,1,2082
xauusd,prior,0,-1,37
xauusd,prior,0,1,41
xauusd,prior,1,-1,12527
xauusd,prior,1,0,2
xauusd,prior,1,1,14653
sp500,lorentzian,-1,-1,4387
sp500,lorentzian,-1,0,14
sp500,lorentzian,-1,1,5094
sp500,lorentzian,0,-1,3263
sp500,lorentzian,0,0,9
sp500,lorentzian,0,1,3932
sp500,lorentzian,1,-1,6720
sp500,lorentzian,1,0,20
sp500,lorentzian,1,1,7873
sp500,logistic,-1,-1,1619
sp500,logistic,-1,0,2
sp500,logistic,-1,1,1978
sp500,logistic,1,-1,12751
sp500,logistic,1,0,41
sp500,logistic,1,1,14921
sp500,prior,-1,-1,694
sp500,prior,-1,1,794
sp500,prior,0,-1,10
sp500,prior,0,1,11
sp500,prior,1,-1,13666
sp500,prior,1,0,43
sp500,prior,1,1,16094
