asset,model,cohort,rows,coverage,accuracy_abstention_incorrect,covered_accuracy,brier,flat_targets,short_forecasts,short_precision,short_recall,long_forecasts,long_precision,long_recall,balanced_accuracy_abstention_miss
xauusd,lorentzian,original_negative_vote,9888,1.0,0.4742111650485437,0.4742111650485437,0.6151806482605178,0,9888,0.4742111650485437,1.0,0,,0.0,0.5
xauusd,lorentzian,original_executed_short,355,1.0,0.43661971830985913,0.43661971830985913,0.6217429577464789,0,355,0.43661971830985913,1.0,0,,0.0,0.5
xauusd,logistic,original_negative_vote,9888,1.0,0.5308454692556634,0.5308454692556634,0.498832256532802,0,3182,0.5078566939032055,0.34463638302409894,6706,0.5417536534446764,0.6987882285054818,0.5217123057647903
xauusd,logistic,original_executed_short,355,1.0,0.5690140845070423,0.5690140845070423,0.48429286106416525,0,66,0.5151515151515151,0.21935483870967742,289,0.5813148788927336,0.84,0.5296774193548387
xauusd,prior,original_negative_vote,9888,0.9966626213592233,0.5311488673139159,0.5329274479959412,0.4978284991949196,0,1785,0.5204481792717087,0.1981232672211559,8070,0.5356877323420074,0.8315060588574726,0.5148146630393142
xauusd,prior,original_executed_short,355,1.0,0.5577464788732395,0.5577464788732395,0.4940063673827828,0,54,0.48148148148148145,0.16774193548387098,301,0.5714285714285714,0.86,0.5138709677419355
sp500,lorentzian,original_negative_vote,9495,1.0,0.4620326487625066,0.4620326487625066,0.6244734070563455,14,9495,0.4620326487625066,1.0,0,,0.0,0.5
sp500,lorentzian,original_executed_short,380,1.0,0.4789473684210526,0.4789473684210526,0.5835526315789473,0,380,0.4789473684210526,1.0,0,,0.0,0.5
sp500,logistic,original_negative_vote,9495,1.0,0.5235387045813586,0.5235387045813586,0.502389823355937,14,1545,0.459546925566343,0.16184180533394119,7950,0.5359748427672956,0.8364742834707499,0.49915804440234557
sp500,logistic,original_executed_short,380,1.0,0.5210526315789473,0.5210526315789473,0.508182578895995,0,76,0.5,0.2087912087912088,304,0.5263157894736842,0.8080808080808081,0.5084360084360084
sp500,prior,original_negative_vote,9495,0.99884149552396,0.5322801474460243,0.5328975115984816,0.5003036576295063,14,581,0.46987951807228917,0.06222931388192387,8903,0.5370099966303493,0.9385551629367884,0.5003922384093561
sp500,prior,original_executed_short,380,0.9973684210526316,0.5236842105263158,0.525065963060686,0.5018642871403144,0,14,0.5714285714285714,0.04395604395604396,365,0.5232876712328767,0.9646464646464646,0.5043012543012543
