asset,cost,model,month,net_r
xauusd,base,lorentzian,2024-01,-8.754811649200436
xauusd,base,lorentzian,2024-02,-6.640060747400558
xauusd,base,lorentzian,2024-03,-0.6481217070936447
xauusd,base,lorentzian,2024-04,-5.786218054539702
xauusd,base,lorentzian,2024-05,-0.41470942103053765
xauusd,base,lorentzian,2024-06,-2.8868826883764145
xauusd,base,lorentzian,2024-07,5.05719693332163
xauusd,base,lorentzian,2024-08,-4.077954731366791
xauusd,base,lorentzian,2024-09,-11.940343549224972
xauusd,base,lorentzian,2024-10,11.165973523828079
xauusd,base,lorentzian,2024-11,13.895740364630305
xauusd,base,lorentzian,2024-12,-4.534656979865434
xauusd,base,lorentzian,2025-01,-4.778720047794928
xauusd,base,lorentzian,2025-02,-7.458879301952172
xauusd,base,lorentzian,2025-03,-6.468475053092093
xauusd,base,lorentzian,2025-04,4.868781205990267
xauusd,base,lorentzian,2025-05,5.9587900608632065
xauusd,base,lorentzian,2025-06,-11.391863296872792
xauusd,base,lorentzian,2025-07,-1.9388508712847519
xauusd,base,lorentzian,2025-08,12.350503254559714
xauusd,base,lorentzian,2025-09,4.066912526999091
xauusd,base,lorentzian,2025-10,8.197404959882675
xauusd,base,lorentzian,2025-11,0.23927477851304352
xauusd,base,lorentzian,2025-12,-10.170448454360832
xauusd,base,lorentzian,2026-01,-2.2621481036886553
xauusd,base,lorentzian,2026-02,-0.06068048672196555
xauusd,base,lorentzian,2026-03,-1.6717149900703416
xauusd,base,lorentzian,2026-04,-14.69117962057045
xauusd,base,lorentzian,2026-05,1.3185918268627197
xauusd,base,lorentzian,2026-06,4.641916407871786
xauusd,base,lorentzian,2026-07,10.719109803407317
xauusd,base,lorentzian,2026-08,-8.382469462278157
xauusd,base,logistic,2024-01,0.4662683891606089
xauusd,base,logistic,2024-02,-3.999999999999978
xauusd,base,logistic,2024-03,2.4440668399880736
xauusd,base,logistic,2024-04,0.6574918761447328
xauusd,base,logistic,2024-05,-4.741201471468089
xauusd,base,logistic,2024-06,-8.536026220238432
xauusd,base,logistic,2024-07,3.200798630030955
xauusd,base,logistic,2024-08,2.425077233235404
xauusd,base,logistic,2024-09,-3.9588513404828176
xauusd,base,logistic,2024-10,1.6268912160689029
xauusd,base,logistic,2024-11,0.0
xauusd,base,logistic,2024-12,0.08678131979398418
xauusd,base,logistic,2025-01,3.277367735632493
xauusd,base,logistic,2025-02,0.0
xauusd,base,logistic,2025-03,0.0
xauusd,base,logistic,2025-04,2.1486935783491665
xauusd,base,logistic,2025-05,6.30382887410919
xauusd,base,logistic,2025-06,-12.346935143948484
xauusd,base,logistic,2025-07,-3.8500297777747803
xauusd,base,logistic,2025-08,4.614631746844667
xauusd,base,logistic,2025-09,-3.1216119155376694
xauusd,base,logistic,2025-10,0.18698606858178146
xauusd,base,logistic,2025-11,0.0
xauusd,base,logistic,2025-12,7.015238352058569
xauusd,base,logistic,2026-01,6.245256031684365
xauusd,base,logistic,2026-02,0.1257592487911158
xauusd,base,logistic,2026-03,7.677970101629958
xauusd,base,logistic,2026-04,0.0
xauusd,base,logistic,2026-05,-4.0000000000001315
xauusd,base,logistic,2026-06,1.8974008143495982
xauusd,base,logistic,2026-07,3.416694989503151
xauusd,base,logistic,2026-08,-4.667588423152249
xauusd,base,prior,2024-01,0.0
xauusd,base,prior,2024-02,0.0
xauusd,base,prior,2024-03,0.0
xauusd,base,prior,2024-04,0.0
xauusd,base,prior,2024-05,0.0
xauusd,base,prior,2024-06,-2.357842303525914
xauusd,base,prior,2024-07,0.0
xauusd,base,prior,2024-08,0.0
xauusd,base,prior,2024-09,0.0
xauusd,base,prior,2024-10,0.0
xauusd,base,prior,2024-11,0.0
xauusd,base,prior,2024-12,0.0
xauusd,base,prior,2025-01,0.0
xauusd,base,prior,2025-02,0.0
xauusd,base,prior,2025-03,0.0
xauusd,base,prior,2025-04,0.0
xauusd,base,prior,2025-05,0.0
xauusd,base,prior,2025-06,0.0
xauusd,base,prior,2025-07,0.0
xauusd,base,prior,2025-08,-0.3539192457476079
xauusd,base,prior,2025-09,1.6492830362780477
xauusd,base,prior,2025-10,0.0
xauusd,base,prior,2025-11,0.0
xauusd,base,prior,2025-12,0.0
xauusd,base,prior,2026-01,0.0
xauusd,base,prior,2026-02,0.0
xauusd,base,prior,2026-03,0.0
xauusd,base,prior,2026-04,1.8971693017509081
xauusd,base,prior,2026-05,0.0
xauusd,base,prior,2026-06,0.0
xauusd,base,prior,2026-07,0.0
xauusd,base,prior,2026-08,0.6844835618160224
xauusd,stress,lorentzian,2024-01,-10.151508721405689
xauusd,stress,lorentzian,2024-02,-6.701374122041952
xauusd,stress,lorentzian,2024-03,-4.733722706500142
xauusd,stress,lorentzian,2024-04,-6.333743257227644
xauusd,stress,lorentzian,2024-05,-1.3249271677172538
xauusd,stress,lorentzian,2024-06,-2.7994693659472887
xauusd,stress,lorentzian,2024-07,4.070031067664178
xauusd,stress,lorentzian,2024-08,-4.569527028388354
xauusd,stress,lorentzian,2024-09,-13.687648694425523
xauusd,stress,lorentzian,2024-10,2.1377023306073104
xauusd,stress,lorentzian,2024-11,14.185812036353243
xauusd,stress,lorentzian,2024-12,-5.198007652080205
xauusd,stress,lorentzian,2025-01,-7.01720221814702
xauusd,stress,lorentzian,2025-02,-7.256003889637595
xauusd,stress,lorentzian,2025-03,-6.933593119790393
xauusd,stress,lorentzian,2025-04,4.452974148110659
xauusd,stress,lorentzian,2025-05,5.528520434668689
xauusd,stress,lorentzian,2025-06,-11.832526712754623
xauusd,stress,lorentzian,2025-07,-2.714786311604392
xauusd,stress,lorentzian,2025-08,11.53936879304401
xauusd,stress,lorentzian,2025-09,3.5444284187352824
xauusd,stress,lorentzian,2025-10,7.85883179669913
xauusd,stress,lorentzian,2025-11,0.05230497572574333
xauusd,stress,lorentzian,2025-12,-10.371395713387232
xauusd,stress,lorentzian,2026-01,-3.448957151877546
xauusd,stress,lorentzian,2026-02,-0.17932579225248074
xauusd,stress,lorentzian,2026-03,-1.8483973432396354
xauusd,stress,lorentzian,2026-04,-14.7989946109081
xauusd,stress,lorentzian,2026-05,1.0151281410425996
xauusd,stress,lorentzian,2026-06,4.411630727910599
xauusd,stress,lorentzian,2026-07,10.201310460425814
xauusd,stress,lorentzian,2026-08,-8.706591884379531
xauusd,stress,logistic,2024-01,-0.056647207544579525
xauusd,stress,logistic,2024-02,-3.999999999999944
xauusd,stress,logistic,2024-03,-1.1898213985572843
xauusd,stress,logistic,2024-04,0.5597350468214612
xauusd,stress,logistic,2024-05,-4.864631967414393
xauusd,stress,logistic,2024-06,-9.786963563928328
xauusd,stress,logistic,2024-07,2.8386887701208376
xauusd,stress,logistic,2024-08,2.2144805856781242
xauusd,stress,logistic,2024-09,-4.123736677197748
xauusd,stress,logistic,2024-10,1.3852090789169458
xauusd,stress,logistic,2024-11,0.0
xauusd,stress,logistic,2024-12,-0.36589019044657034
xauusd,stress,logistic,2025-01,1.45062978323337
xauusd,stress,logistic,2025-02,0.0
xauusd,stress,logistic,2025-03,0.0
xauusd,stress,logistic,2025-04,2.062697325887412
xauusd,stress,logistic,2025-05,6.530024667403679
xauusd,stress,logistic,2025-06,-12.773155154841389
xauusd,stress,logistic,2025-07,-3.91602994416128
xauusd,stress,logistic,2025-08,4.264313037990605
xauusd,stress,logistic,2025-09,-3.2039601622178453
xauusd,stress,logistic,2025-10,0.13945854523009893
xauusd,stress,logistic,2025-11,0.0
xauusd,stress,logistic,2025-12,6.85553879537851
xauusd,stress,logistic,2026-01,6.124531168335832
xauusd,stress,logistic,2026-02,0.10401003609653742
xauusd,stress,logistic,2026-03,7.624766238047104
xauusd,stress,logistic,2026-04,0.0
xauusd,stress,logistic,2026-05,-4.000000000000052
xauusd,stress,logistic,2026-06,1.8225718328188236
xauusd,stress,logistic,2026-07,3.2517548891076875
xauusd,stress,logistic,2026-08,-4.7965279605292475
xauusd,stress,prior,2024-01,0.0
xauusd,stress,prior,2024-02,0.0
xauusd,stress,prior,2024-03,0.0
xauusd,stress,prior,2024-04,0.0
xauusd,stress,prior,2024-05,0.0
xauusd,stress,prior,2024-06,-2.5780970612325986
xauusd,stress,prior,2024-07,0.0
xauusd,stress,prior,2024-08,0.0
xauusd,stress,prior,2024-09,0.0
xauusd,stress,prior,2024-10,0.0
xauusd,stress,prior,2024-11,0.0
xauusd,stress,prior,2024-12,0.0
xauusd,stress,prior,2025-01,0.0
xauusd,stress,prior,2025-02,0.0
xauusd,stress,prior,2025-03,0.0
xauusd,stress,prior,2025-04,0.0
xauusd,stress,prior,2025-05,0.0
xauusd,stress,prior,2025-06,0.0
xauusd,stress,prior,2025-07,0.0
xauusd,stress,prior,2025-08,-0.5208699220874611
xauusd,stress,prior,2025-09,1.4727020640951314
xauusd,stress,prior,2025-10,0.0
xauusd,stress,prior,2025-11,0.0
xauusd,stress,prior,2025-12,0.0
xauusd,stress,prior,2026-01,0.0
xauusd,stress,prior,2026-02,0.0
xauusd,stress,prior,2026-03,0.0
xauusd,stress,prior,2026-04,1.8448061990305216
xauusd,stress,prior,2026-05,0.0
xauusd,stress,prior,2026-06,0.0
xauusd,stress,prior,2026-07,0.0
xauusd,stress,prior,2026-08,0.6665853133388181
sp500,base,lorentzian,2024-01,6.907294436080416
sp500,base,lorentzian,2024-02,5.481949310509922
sp500,base,lorentzian,2024-03,-4.084929612185107
sp500,base,lorentzian,2024-04,-1.7212860695265886
sp500,base,lorentzian,2024-05,2.8501166143801195
sp500,base,lorentzian,2024-06,20.25969537704491
sp500,base,lorentzian,2024-07,-8.730988560200908
sp500,base,lorentzian,2024-08,4.476147589619526
sp500,base,lorentzian,2024-09,-0.04227199968064399
sp500,base,lorentzian,2024-10,2.8929335338931033
sp500,base,lorentzian,2024-11,-0.41024945793840684
sp500,base,lorentzian,2024-12,-4.423773617231356
sp500,base,lorentzian,2025-01,-0.03603113227416621
sp500,base,lorentzian,2025-02,-6.633416398205415
sp500,base,lorentzian,2025-03,-2.260401285721835
sp500,base,lorentzian,2025-04,9.056061027719249
sp500,base,lorentzian,2025-05,0.7413633389633978
sp500,base,lorentzian,2025-06,-7.792666675630842
