asset,cost,model,direction,label_result,pnl_win,trades,net_r
xauusd,base,lorentzian,-1,correct,False,45,-44.61984009892043
xauusd,base,lorentzian,-1,correct,True,110,147.48969184293188
xauusd,base,lorentzian,-1,wrong,False,188,-187.17960760173486
xauusd,base,lorentzian,-1,wrong,True,12,9.213077560990595
xauusd,base,lorentzian,1,correct,False,50,-49.73002397031597
xauusd,base,lorentzian,1,correct,True,158,246.8551379455584
xauusd,base,lorentzian,1,wrong,False,167,-166.2403399911991
xauusd,base,lorentzian,1,wrong,True,15,11.732910742633678
xauusd,base,logistic,-1,correct,False,8,-8.000000000000018
xauusd,base,logistic,-1,correct,True,25,38.636257477101466
xauusd,base,logistic,-1,wrong,False,46,-45.59276977756975
xauusd,base,logistic,-1,wrong,True,3,4.064706649739798
xauusd,base,logistic,1,correct,False,23,-23.000000000000252
xauusd,base,logistic,1,correct,True,52,78.45479661320412
xauusd,base,logistic,1,wrong,False,46,-45.33995659183264
xauusd,base,logistic,1,wrong,True,4,5.371924382711336
xauusd,base,prior,-1,correct,False,2,-2.0000000000000284
xauusd,base,prior,-1,correct,True,3,3.7624174676460433
xauusd,base,prior,-1,wrong,False,3,-3.000000000000014
xauusd,base,prior,1,correct,False,2,-1.9999999999999658
xauusd,base,prior,1,correct,True,3,6.0756777015373284
xauusd,base,prior,1,wrong,False,3,-3.0000000000000346
xauusd,base,prior,1,wrong,True,3,1.6810791813881263
xauusd,stress,lorentzian,-1,correct,False,48,-47.627259138095404
xauusd,stress,lorentzian,-1,correct,True,107,135.38088205096972
xauusd,stress,lorentzian,-1,wrong,False,189,-188.23203632755258
xauusd,stress,lorentzian,-1,wrong,True,11,8.450925609740212
xauusd,stress,lorentzian,1,correct,False,54,-53.74426557903308
xauusd,stress,lorentzian,1,correct,True,154,238.51389855339588
xauusd,stress,lorentzian,1,wrong,False,166,-165.26837485942684
xauusd,stress,lorentzian,1,wrong,True,14,10.91656955727675
xauusd,stress,logistic,-1,correct,False,9,-9.00000000000015
xauusd,stress,logistic,-1,correct,True,24,37.52906028384598
xauusd,stress,logistic,-1,wrong,False,46,-45.60461044318848
xauusd,stress,logistic,-1,wrong,True,3,3.893322621580653
xauusd,stress,logistic,1,correct,False,25,-25.000000000000977
xauusd,stress,logistic,1,correct,True,50,72.52062164295808
xauusd,stress,logistic,1,wrong,False,46,-45.35943936962434
xauusd,stress,logistic,1,wrong,True,4,5.172090838657597
xauusd,stress,prior,-1,correct,False,2,-2.000000000000136
xauusd,stress,prior,-1,correct,True,3,3.550908106544683
xauusd,stress,prior,-1,wrong,False,3,-3.0000000000001323
xauusd,stress,prior,1,correct,False,2,-2.000000000000045
xauusd,stress,prior,1,correct,True,3,5.829711819645853
xauusd,stress,prior,1,wrong,False,3,-3.000000000000148
xauusd,stress,prior,1,wrong,True,3,1.5045066669543368
sp500,base,lorentzian,-1,correct,False,62,-61.43404517496331
sp500,base,lorentzian,-1,correct,True,120,232.34203821120076
sp500,base,lorentzian,-1,wrong,False,188,-188.0242343079998
sp500,base,lorentzian,-1,wrong,True,10,14.553309157523442
sp500,base,lorentzian,1,correct,False,57,-56.9049991411644
sp500,base,lorentzian,1,correct,True,124,241.41432079231308
sp500,base,lorentzian,1,wrong,False,116,-116.05456128032068
sp500,base,lorentzian,1,wrong,True,11,6.874961915353845
sp500,base,logistic,-1,correct,False,25,-29.40164063310968
sp500,base,logistic,-1,correct,True,41,67.69403840522446
sp500,base,logistic,-1,wrong,False,77,-77.00000000000324
sp500,base,logistic,-1,wrong,True,10,3.3456846680918297
sp500,base,logistic,1,correct,False,30,-30.00000000000127
sp500,base,logistic,1,correct,True,55,112.34095740543707
sp500,base,logistic,1,wrong,False,57,-57.00015767217406
sp500,base,logistic,1,wrong,True,4,3.4983321103818943
sp500,base,prior,-1,correct,False,1,-1.0000000000000373
sp500,base,prior,-1,correct,True,1,0.11557658270750931
sp500,base,prior,-1,wrong,False,1,-1.0000000000000502
sp500,base,prior,1,correct,True,3,7.042417633582178
sp500,stress,lorentzian,-1,correct,False,70,-69.54282822341982
sp500,stress,lorentzian,-1,correct,True,113,210.66525119899518
sp500,stress,lorentzian,-1,wrong,False,189,-189.11968014127638
sp500,stress,lorentzian,-1,wrong,True,9,13.784288148931655
sp500,stress,lorentzian,1,correct,False,59,-58.94756772567532
sp500,stress,lorentzian,1,correct,True,122,235.05364484802578
sp500,stress,lorentzian,1,wrong,False,116,-116.02908758911103
sp500,stress,lorentzian,1,wrong,True,11,5.943152268875172
sp500,stress,logistic,-1,correct,False,26,-26.012172952383377
sp500,stress,logistic,-1,correct,True,40,65.08200943654587
sp500,stress,logistic,-1,wrong,False,78,-78.03831557746707
sp500,stress,logistic,-1,wrong,True,9,2.9354573700071063
sp500,stress,logistic,1,correct,False,31,-31.000000000001144
sp500,stress,logistic,1,correct,True,54,106.77244368677901
sp500,stress,logistic,1,wrong,False,58,-57.09031120867586
sp500,stress,logistic,1,wrong,True,3,3.2872644910633064
sp500,stress,prior,-1,correct,False,1,-1.000000000000034
sp500,stress,prior,-1,correct,True,1,0.10005042022032683
sp500,stress,prior,-1,wrong,False,1,-1.0000000000000453
sp500,stress,prior,1,correct,True,3,6.897535208427103
