asset,model,side,bin,rows,mean_probability,observed_frequency
xauusd,lorentzian,down,0,370,0.0,0.5243243243243243
xauusd,lorentzian,down,1,1970,0.125,0.47766497461928936
xauusd,lorentzian,down,2,4656,0.25,0.4521048109965636
xauusd,lorentzian,down,3,7108,0.375,0.4563871693866066
xauusd,lorentzian,down,5,7518,0.5,0.47326416600159615
xauusd,lorentzian,down,6,5619,0.625,0.4719701014415376
xauusd,lorentzian,down,7,3020,0.75,0.47450331125827816
xauusd,lorentzian,down,8,1048,0.875,0.4847328244274809
xauusd,lorentzian,down,9,197,1.0,0.467005076142132
xauusd,lorentzian,up,0,197,0.0,0.5329949238578681
xauusd,lorentzian,up,1,1050,0.125,0.5152380952380953
xauusd,lorentzian,up,2,3022,0.25,0.5251489080079418
xauusd,lorentzian,up,3,5619,0.375,0.5278519309485674
xauusd,lorentzian,up,5,7519,0.5,0.5269317728421332
xauusd,lorentzian,up,6,7105,0.625,0.5434201266713582
xauusd,lorentzian,up,7,4654,0.75,0.5477009024495058
xauusd,lorentzian,up,8,1970,0.875,0.5223350253807106
xauusd,lorentzian,up,9,370,1.0,0.4756756756756757
xauusd,logistic,down,2,13,0.2778456646013229,0.46153846153846156
xauusd,logistic,down,3,1582,0.3814954270943205,0.4582806573957016
xauusd,logistic,down,4,22827,0.4556045172697681,0.45914925307749593
xauusd,logistic,down,5,7042,0.5282247014804312,0.49644987219539904
xauusd,logistic,down,6,42,0.6139873595451146,0.4523809523809524
xauusd,logistic,up,3,42,0.38576784370405826,0.5476190476190477
xauusd,logistic,up,4,7046,0.47174514586547245,0.5035481124042009
xauusd,logistic,up,5,22830,0.5443211213115465,0.5407796758650898
xauusd,logistic,up,6,1575,0.6185494089540543,0.540952380952381
xauusd,logistic,up,7,13,0.722154335398677,0.5384615384615384
xauusd,prior,down,4,27183,0.4600762041869199,0.4608394952727808
xauusd,prior,down,5,4323,0.5223386987471624,0.5089058524173028
xauusd,prior,up,4,4247,0.4772510961701937,0.49046385684012245
xauusd,prior,up,5,27259,0.5397162872739827,0.539014637367475
sp500,lorentzian,down,0,536,0.0,0.47201492537313433
sp500,lorentzian,down,1,2146,0.125,0.47763280521901214
sp500,lorentzian,down,2,4910,0.25,0.45906313645621183
sp500,lorentzian,down,3,7025,0.375,0.45380782918149465
sp500,lorentzian,down,5,7255,0.5,0.45265334252239836
sp500,lorentzian,down,6,5385,0.625,0.4636954503249768
sp500,lorentzian,down,7,2889,0.75,0.45275181723779856
sp500,lorentzian,down,8,987,0.875,0.48125633232016213
sp500,lorentzian,down,9,179,1.0,0.48044692737430167
sp500,lorentzian,up,0,182,0.0,0.521978021978022
sp500,lorentzian,up,1,1002,0.125,0.5169660678642715
sp500,lorentzian,up,2,2898,0.25,0.5462387853692201
sp500,lorentzian,up,3,5417,0.375,0.535720878715156
sp500,lorentzian,up,5,7293,0.5,0.5454545454545454
sp500,lorentzian,up,6,7006,0.625,0.5448187268055952
sp500,lorentzian,up,7,4864,0.75,0.5394736842105263
sp500,lorentzian,up,8,2117,0.875,0.5200755786490316
sp500,lorentzian,up,9,533,1.0,0.5272045028142589
sp500,logistic,down,2,3,0.2746318851817893,0.3333333333333333
sp500,logistic,down,3,1764,0.3824611335685433,0.481859410430839
sp500,logistic,down,4,26031,0.453564391028744,0.4585302139756444
sp500,logistic,down,5,3502,0.5189134864425734,0.4503141062250143
sp500,logistic,down,6,12,0.6127971587134243,0.5
sp500,logistic,up,3,13,0.3870103074260642,0.5384615384615384
sp500,logistic,up,4,3687,0.48117994904576267,0.548413344182262
sp500,logistic,up,5,25973,0.5457264312534102,0.54009933392369
sp500,logistic,up,6,1637,0.6173450474320891,0.5137446548564447
sp500,logistic,up,7,2,0.7358966995143816,0.5
sp500,prior,down,4,29815,0.4546700561612464,0.45856112694952206
sp500,prior,down,5,1497,0.5069355923901342,0.46626586506346024
sp500,prior,up,4,1506,0.4924938266483031,0.5338645418326693
sp500,prior,up,5,29806,0.5440340667064131,0.539991947929947
