asset,cost,variant,year,trades,net_r
sp500,base,causal_lorentzian,2024,265,23.454637544764992
sp500,base,causal_lorentzian,2025,265,31.635651128357697
sp500,base,causal_lorentzian,2026,158,17.676501498820304
sp500,base,causal_euclidean,2024,269,24.36233093343851
sp500,base,causal_euclidean,2025,272,28.302735669353094
sp500,base,causal_euclidean,2026,162,19.880660226505476
sp500,base,simple_momentum4,2024,364,-1.6617242802945569
sp500,base,simple_momentum4,2025,360,14.684775786243993
sp500,base,simple_momentum4,2026,244,-15.766325799740859
sp500,base,filter_only_kernel,2024,372,-7.800145919499837
sp500,base,filter_only_kernel,2025,360,24.292423469524813
sp500,base,filter_only_kernel,2026,242,-23.62124171443955
sp500,stress,causal_lorentzian,2024,265,6.686369628152924
sp500,stress,causal_lorentzian,2025,265,21.935596349324918
sp500,stress,causal_lorentzian,2026,159,3.185206807867349
sp500,stress,causal_euclidean,2024,269,-4.911868747607656
sp500,stress,causal_euclidean,2025,273,4.008511216546227
sp500,stress,causal_euclidean,2026,163,6.256647002924115
sp500,stress,simple_momentum4,2024,364,-20.053485295666036
sp500,stress,simple_momentum4,2025,360,-1.1131895529680058
sp500,stress,simple_momentum4,2026,244,-29.44686280323723
sp500,stress,filter_only_kernel,2024,372,-26.46393313447767
sp500,stress,filter_only_kernel,2025,360,8.408657743380965
sp500,stress,filter_only_kernel,2026,242,-37.1675626866279
xauusd,base,causal_lorentzian,2024,285,-15.564848706318482
xauusd,base,causal_lorentzian,2025,281,-6.525570238549571
xauusd,base,causal_lorentzian,2026,179,-10.388574625187747
xauusd,base,causal_euclidean,2024,293,-14.070282126763182
xauusd,base,causal_euclidean,2025,287,7.732112726671447
xauusd,base,causal_euclidean,2026,178,-11.731793543467546
xauusd,base,simple_momentum4,2024,402,-22.466222264379287
xauusd,base,simple_momentum4,2025,390,-6.838473586861906
xauusd,base,simple_momentum4,2026,237,5.744135176258377
xauusd,base,filter_only_kernel,2024,401,-36.16535359858659
xauusd,base,filter_only_kernel,2025,390,-1.208065860052459
xauusd,base,filter_only_kernel,2026,233,10.549434472257879
xauusd,stress,causal_lorentzian,2024,283,-35.10638328110932
xauusd,stress,causal_lorentzian,2025,281,-13.149079398337744
xauusd,stress,causal_lorentzian,2026,179,-13.354197453278278
xauusd,stress,causal_euclidean,2024,291,-37.761198921278094
xauusd,stress,causal_euclidean,2025,287,-1.9632738571928403
xauusd,stress,causal_euclidean,2026,178,-10.786909745129211
xauusd,stress,simple_momentum4,2024,402,-39.761866273455176
xauusd,stress,simple_momentum4,2025,390,-14.50354478099868
xauusd,stress,simple_momentum4,2026,237,5.743963854022866
xauusd,stress,filter_only_kernel,2024,401,-53.09732265923037
xauusd,stress,filter_only_kernel,2025,390,-9.520865967348296
xauusd,stress,filter_only_kernel,2026,233,10.542842276497113
