asset,cost,variant,trades,trades_per_week,total_r,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,total_r_ex_top10,total_holding_hours,mean_holding_hours,tail_above_3r_count,tail_above_3r_sum,long_r,short_r
sp500,base,causal_lorentzian,688,4.944558521560575,72.76679017194299,0.10576568338945201,-1.0000000000000133,0.3851744186046512,1.1722625876511348,27.223103012996447,-14.640498813114794,2714.2333333333336,3.945106589147287,53,265.862229323805,75.32972228618186,-2.5629321142388903
sp500,base,causal_euclidean,703,5.052361396303902,72.54572682929708,0.10319449051109116,-1.0000000000000133,0.3741109530583215,1.1650811270896007,32.03964732567047,-12.53608779659681,2803.6833333333334,3.9881697486960648,58,287.2031377103486,74.37744957848136,-1.83172274918428
sp500,base,simple_momentum4,968,6.95687885010267,-2.7432742937914316,-0.002833961047305198,-1.0000000000000162,0.36983471074380164,0.9955440159847658,57.64242355970916,-87.70913025094248,3546.4166666666665,3.6636535812672175,56,288.3709597115785,10.553205200036018,-13.296479493827455
sp500,base,filter_only_kernel,974,7.0,-7.12896416441458,-0.0073192650558671244,-1.000000000000016,0.36960985626283366,0.9884761129893065,57.194091282675316,-92.09482012156568,3604.7333333333336,3.7009582477754965,56,286.25308213963706,7.463770099768658,-14.592734264183248
sp500,stress,causal_lorentzian,689,4.9517453798767965,31.80717278534519,0.04616425658250391,-1.0000000000000098,0.37010159651669083,1.0733494007216906,32.891339804485916,-52.962204763037505,2676.2666666666664,3.884276729559748,49,245.82167744768577,66.02014180211457,-34.21296901676938
sp500,stress,causal_euclidean,705,5.066735112936345,5.353289471862684,0.007593318399805226,-1.000000000000009,0.35319148936170214,1.0117085644042265,50.8389210817362,-76.20060721307843,2803.5,3.976595744680851,51,250.08730063391062,48.18983099646096,-42.83654152459829
sp500,stress,simple_momentum4,968,6.95687885010267,-50.61353765187127,-0.052286712450280236,-1.0000000000000109,0.35330578512396693,0.9194504014185041,76.69127206045778,-133.89488987496517,3460.45,3.574845041322314,53,274.063296880503,-15.52817711282482,-35.085360539046455
sp500,stress,filter_only_kernel,974,7.0,-55.22283807772461,-0.056696959012037584,-1.0000000000000109,0.3531827515400411,0.912562822197565,77.18433987737946,-138.50419030081852,3514.5,3.608316221765914,53,272.00555306490514,-18.982403211781737,-36.24043486594288
xauusd,base,causal_lorentzian,745,5.354209445585216,-32.47899357005579,-0.043595964523564824,-0.9999999999999765,0.3959731543624161,0.9274649770392287,46.78740824732137,-98.89537317780659,2904.3166666666666,3.8984116331096197,33,154.2734655824578,42.61768472667703,-75.09667829673282
xauusd,base,causal_euclidean,758,5.447638603696099,-18.069962943559283,-0.023839001244801164,-0.9999999999999741,0.40633245382585753,0.9595000753807243,43.09599134874536,-76.15706009813374,3044.2,4.016094986807388,34,149.7147304431702,17.26535400473859,-35.335316948297866
xauusd,base,simple_momentum4,1029,7.395277207392198,-23.56056067498282,-0.022896560422723828,-0.999999999999979,0.37317784256559766,0.9633103502227308,50.04729148368718,-99.21330541453153,3980.9666666666667,3.8687722708130874,57,267.3978317999467,74.9047030989384,-98.46526377392121
xauusd,base,filter_only_kernel,1024,7.359342915811088,-26.823984986381166,-0.026195297838262858,-0.9999999999999778,0.373046875,0.9579843464540212,54.604010462810024,-101.08554465177374,3923.1833333333334,3.8312337239583334,56,262.15706745627284,79.94421491429051,-106.76819990067168
xauusd,stress,causal_lorentzian,743,5.339835728952772,-61.60966013272534,-0.0829201347681364,-0.9999999999999993,0.38492597577388965,0.8645560315558501,74.29327264048482,-124.06455221465046,2981.45,4.01271870794078,32,144.76729260458293,30.417827672212734,-92.02748780493806
xauusd,stress,causal_euclidean,756,5.433264887063655,-50.511382523600155,-0.06681399804709015,-0.9999999999999987,0.38492063492063494,0.8905043597677033,75.07181844196782,-104.85190092264281,3135.9666666666667,4.14810405643739,34,144.9920969577299,6.912708961644144,-57.424091485244276
xauusd,stress,simple_momentum4,1029,7.395277207392198,-48.52144720043099,-0.04715398173025363,-0.9999999999999982,0.3673469387755102,0.9251579307267176,69.74185549600475,-121.47160721560321,4007.0499999999997,3.8941205053449948,58,262.1611969447871,66.6628737567893,-115.18432095722028
xauusd,stress,filter_only_kernel,1024,7.359342915811088,-52.075346350081546,-0.05085483042000151,-0.9999999999999981,0.3671875,0.919212384787897,75.79274165396333,-123.60972963678259,3944.2666666666664,3.8518229166666664,56,254.01922456923475,71.07658580925177,-123.15193215933331
