asset,cost,variant,month,net_r
sp500,base,causal_lorentzian,2024-01,6.907294436080416
sp500,base,causal_lorentzian,2024-02,5.481949310509922
sp500,base,causal_lorentzian,2024-03,-4.084929612185107
sp500,base,causal_lorentzian,2024-04,-1.7212860695265886
sp500,base,causal_lorentzian,2024-05,2.8501166143801195
sp500,base,causal_lorentzian,2024-06,20.25969537704491
sp500,base,causal_lorentzian,2024-07,-8.730988560200908
sp500,base,causal_lorentzian,2024-08,4.476147589619526
sp500,base,causal_lorentzian,2024-09,-0.04227199968064399
sp500,base,causal_lorentzian,2024-10,2.8929335338931033
sp500,base,causal_lorentzian,2024-11,-0.41024945793840684
sp500,base,causal_lorentzian,2024-12,-4.423773617231356
sp500,base,causal_lorentzian,2025-01,-0.03603113227416621
sp500,base,causal_lorentzian,2025-02,-6.633416398205415
sp500,base,causal_lorentzian,2025-03,-2.260401285721835
sp500,base,causal_lorentzian,2025-04,9.056061027719249
sp500,base,causal_lorentzian,2025-05,0.7413633389633978
sp500,base,causal_lorentzian,2025-06,-7.792666675630842
sp500,base,causal_lorentzian,2025-07,8.692747709916656
sp500,base,causal_lorentzian,2025-08,-1.4306837950945437
sp500,base,causal_lorentzian,2025-09,15.218698256977568
sp500,base,causal_lorentzian,2025-10,4.817171180829668
sp500,base,causal_lorentzian,2025-11,10.822289314980008
sp500,base,causal_lorentzian,2025-12,0.44051958589795515
sp500,base,causal_lorentzian,2026-01,-4.339879488595141
sp500,base,causal_lorentzian,2026-02,4.293060428777363
sp500,base,causal_lorentzian,2026-03,4.351817220771232
sp500,base,causal_lorentzian,2026-04,18.70107485900729
sp500,base,causal_lorentzian,2026-05,-8.01977336057504
sp500,base,causal_lorentzian,2026-06,-5.420697838583383
sp500,base,causal_lorentzian,2026-07,-8.392460885217933
sp500,base,causal_lorentzian,2026-08,16.50336056323592
sp500,base,causal_euclidean,2024-01,4.766757774490679
sp500,base,causal_euclidean,2024-02,1.319930621292396
sp500,base,causal_euclidean,2024-03,-1.8358033131294291
sp500,base,causal_euclidean,2024-04,1.3039766318570494
sp500,base,causal_euclidean,2024-05,0.3613332351356837
sp500,base,causal_euclidean,2024-06,27.101957618690946
sp500,base,causal_euclidean,2024-07,-7.2349181599149235
sp500,base,causal_euclidean,2024-08,7.542658783922665
sp500,base,causal_euclidean,2024-09,-7.094830329449681
sp500,base,causal_euclidean,2024-10,2.3797495489126126
sp500,base,causal_euclidean,2024-11,4.687226091905617
sp500,base,causal_euclidean,2024-12,-8.935707570275106
sp500,base,causal_euclidean,2025-01,6.429097435730806
sp500,base,causal_euclidean,2025-02,-17.522774871331528
sp500,base,causal_euclidean,2025-03,-1.2750820079654985
sp500,base,causal_euclidean,2025-04,6.936091042992343
sp500,base,causal_euclidean,2025-05,-0.051877345034645694
sp500,base,causal_euclidean,2025-06,-3.771734678469465
sp500,base,causal_euclidean,2025-07,7.42204781723889
sp500,base,causal_euclidean,2025-08,0.6385894179763656
sp500,base,causal_euclidean,2025-09,13.966914838110954
sp500,base,causal_euclidean,2025-10,8.29832648964389
sp500,base,causal_euclidean,2025-11,8.699467277578393
sp500,base,causal_euclidean,2025-12,-1.4663297471174133
sp500,base,causal_euclidean,2026-01,2.734358551458548
sp500,base,causal_euclidean,2026-02,0.9495409944819184
sp500,base,causal_euclidean,2026-03,2.4454825539174356
sp500,base,causal_euclidean,2026-04,21.510883655447508
sp500,base,causal_euclidean,2026-05,-7.423495082313273
sp500,base,causal_euclidean,2026-06,-9.849713074932154
sp500,base,causal_euclidean,2026-07,-4.0747856668947
sp500,base,causal_euclidean,2026-08,13.5883882953402
sp500,base,simple_momentum4,2024-01,13.797769472910257
sp500,base,simple_momentum4,2024-02,-3.2274657854579214
sp500,base,simple_momentum4,2024-03,4.3601801826096365
sp500,base,simple_momentum4,2024-04,5.928271400396111
sp500,base,simple_momentum4,2024-05,-3.3667389706725066
sp500,base,simple_momentum4,2024-06,9.456226190682893
sp500,base,simple_momentum4,2024-07,-4.756182694769706
sp500,base,simple_momentum4,2024-08,-12.138608825647443
sp500,base,simple_momentum4,2024-09,-17.612644323571054
sp500,base,simple_momentum4,2024-10,-9.380433970511731
sp500,base,simple_momentum4,2024-11,7.055831266891927
sp500,base,simple_momentum4,2024-12,8.222071776844984
sp500,base,simple_momentum4,2025-01,7.816867815361507
sp500,base,simple_momentum4,2025-02,-17.225806179167847
sp500,base,simple_momentum4,2025-03,-1.5829288073740018
sp500,base,simple_momentum4,2025-04,-1.057175272228669
sp500,base,simple_momentum4,2025-05,-0.6697081162561032
sp500,base,simple_momentum4,2025-06,-5.620100686904538
sp500,base,simple_momentum4,2025-07,8.00085487409664
sp500,base,simple_momentum4,2025-08,6.586650771677194
sp500,base,simple_momentum4,2025-09,8.401403193906836
sp500,base,simple_momentum4,2025-10,4.1958773315238025
sp500,base,simple_momentum4,2025-11,3.663207164892966
sp500,base,simple_momentum4,2025-12,2.175633696716207
sp500,base,simple_momentum4,2026-01,-6.8209629387043
sp500,base,simple_momentum4,2026-02,4.864504798146471
sp500,base,simple_momentum4,2026-03,1.7736038820156872
sp500,base,simple_momentum4,2026-04,8.261502226422701
sp500,base,simple_momentum4,2026-05,-0.3447414321595692
sp500,base,simple_momentum4,2026-06,-11.087257793927092
sp500,base,simple_momentum4,2026-07,-9.653122280153205
sp500,base,simple_momentum4,2026-08,-2.7598522613815564
sp500,base,filter_only_kernel,2024-01,12.0055570747585
sp500,base,filter_only_kernel,2024-02,-3.0359886110301586
sp500,base,filter_only_kernel,2024-03,0.7385715060048099
sp500,base,filter_only_kernel,2024-04,7.907648214873234
sp500,base,filter_only_kernel,2024-05,-3.957327178902781
sp500,base,filter_only_kernel,2024-06,9.24987977199257
sp500,base,filter_only_kernel,2024-07,-6.3621367988703135
sp500,base,filter_only_kernel,2024-08,-14.138608825647578
sp500,base,filter_only_kernel,2024-09,-13.269963091216447
sp500,base,filter_only_kernel,2024-10,-6.327599878205745
sp500,base,filter_only_kernel,2024-11,3.1996775304131813
sp500,base,filter_only_kernel,2024-12,6.190144366330892
sp500,base,filter_only_kernel,2025-01,10.322767889513003
sp500,base,filter_only_kernel,2025-02,-17.225806179167847
sp500,base,filter_only_kernel,2025-03,-2.5829288073740293
sp500,base,filter_only_kernel,2025-04,-0.05717527222865826
sp500,base,filter_only_kernel,2025-05,-4.596602453865614
sp500,base,filter_only_kernel,2025-06,1.2065562171696464
sp500,base,filter_only_kernel,2025-07,7.581980360080592
sp500,base,filter_only_kernel,2025-08,6.586650771677194
sp500,base,filter_only_kernel,2025-09,9.172220057448266
sp500,base,filter_only_kernel,2025-10,6.432635898269613
sp500,base,filter_only_kernel,2025-11,1.7703329785816908
sp500,base,filter_only_kernel,2025-12,5.681792009420941
sp500,base,filter_only_kernel,2026-01,-6.594691792372968
sp500,base,filter_only_kernel,2026-02,5.8645047981465215
sp500,base,filter_only_kernel,2026-03,2.7736038820157085
sp500,base,filter_only_kernel,2026-04,9.261502226422744
sp500,base,filter_only_kernel,2026-05,-1.9627354625212545
sp500,base,filter_only_kernel,2026-06,-13.228891654879108
sp500,base,filter_only_kernel,2026-07,-16.97468144986963
sp500,base,filter_only_kernel,2026-08,-2.7598522613815564
sp500,stress,causal_lorentzian,2024-01,3.5959916603836324
sp500,stress,causal_lorentzian,2024-02,1.2406018869679272
sp500,stress,causal_lorentzian,2024-03,-4.591821182738375
