asset,side,year,trades,mean_net_r,win_rate,mean_mfe_lower_r,mean_mfe_upper_r,mean_giveback_lower_r,mean_giveback_upper_r,median_mae_r,mfe_at_least_1r_fraction,mfe_at_least_3r_fraction,trail_activation_fraction,touch_1r_without_trail_fraction,median_peak_minutes_positive_mfe,median_holding_minutes,mean_winner_r,winner_mean_mfe_r,winner_mean_giveback_r,activated_count,activated_mean_net_r,activated_mean_mfe_r,activated_mean_giveback_r,initial_stop_count,stopped_touch_1r_fraction,median_preentry_120m_atr,preentry_valid_count,mean_intrabar_over_completed_peak_r
sp500,all,2024,265,0.08850806620666035,0.37735849056603776,1.521568108288594,1.525898365572477,1.4330600420819337,1.4373902993658165,-1.0000000000000209,0.46037735849056605,0.1660377358490566,0.36981132075471695,0.09056603773584905,34.0,67.0,1.8810298149061868,3.3111421276254958,1.4301123127193094,98,1.9107658968115409,3.364128503283107,1.453362606471566,164,0.1402439024390244,2.05346695429148,257,0.36510205396522083
sp500,all,2025,265,0.11937981557870829,0.4075471698113208,1.5968924829451705,1.5977416083179807,1.4775126673664627,1.4783617927392723,-1.0000000000000109,0.5094339622641509,0.16226415094339622,0.4,0.10943396226415095,46.5,92.0,1.7426567454146995,3.1491940950254755,1.4065373496107763,106,1.7584694564672916,3.190444674190752,1.4319752177234608,155,0.17419354838709677,1.931118303907406,257,0.4077166922404565
sp500,all,2026,158,0.11187659176468549,0.36075949367088606,1.649449613755939,1.656830567633826,1.5375730219912533,1.5449539758691406,-1.0000000000000102,0.4873417721518987,0.14556962025316456,0.35443037974683544,0.13291139240506328,37.0,90.0,2.08552140492956,3.5735495849980325,1.488028180068472,56,2.095679798674353,3.610279910529762,1.5146001118554093,101,0.19801980198019803,1.716429903158984,149,0.44491347544929927
sp500,long,2024,122,0.3560144918379205,0.47540983606557374,1.7390317223835918,1.7401352302423831,1.3830172305456714,1.3841207384044627,-1.0000000000000036,0.5409836065573771,0.19672131147540983,0.4672131147540984,0.07377049180327869,61.0,89.5,1.8526520102849493,3.1724597194425534,1.3198077091576041,57,1.8841748231666415,3.2207571154960646,1.3365822923294228,64,0.140625,1.854142607422185,118,0.3263442580407221
sp500,long,2025,116,0.223253009474311,0.46551724137931033,1.6229917973256636,1.6231902105834606,1.3997387878513528,1.3999372011091495,-1.000000000000004,0.5431034482758621,0.12931034482758622,0.4482758620689655,0.09482758620689655,62.5,137.50000000000003,1.6229378212229957,2.897199467014365,1.2742616457913682,52,1.650566850515137,2.9715950850046937,1.3210282344895568,61,0.16393442622950818,1.931118303907406,113,0.3555477065674063
sp500,long,2026,70,0.08569435975622154,0.32857142857142857,1.5687235908734642,1.5687235908734642,1.483029231117243,1.483029231117243,-1.0000000000000129,0.4714285714285714,0.1,0.3142857142857143,0.15714285714285714,30.0,77.5,2.312905381091223,3.649426071913311,1.3365206908220875,22,2.3490987459034978,3.7463703772174983,1.3972716313140006,47,0.2127659574468085,1.5639442735483795,65,0.3956976449402919
sp500,short,2024,143,-0.13971419901721197,0.2937062937062937,1.3360397102495052,1.343122858651298,1.475753909266717,1.4828370576685102,-1.0000000000000344,0.3916083916083916,0.13986013986013987,0.2867132867132867,0.1048951048951049,30.0,60.0,1.9202182117640856,3.5026559294019384,1.582437717637854,41,1.947733974805669,3.563449700938262,1.6157157261325934,100,0.14,2.184501427278786,139,0.39816814559311486
sp500,short,2025,149,0.03851209415662839,0.3624161073825503,1.576573553628814,1.5779292736683452,1.5380614594721855,1.539417179511717,-1.0000000000000149,0.48322147651006714,0.18791946308724833,0.3624161073825503,0.12080536912751678,31.0,64.00000000000001,1.8623756696064038,3.401188723036587,1.5388130534301836,54,1.8623756696064038,3.401188723036587,1.5388130534301836,94,0.18085106382978725,1.9199646297273845,144,0.4483314730328982
sp500,short,2026,88,0.13270336722596354,0.38636363636363635,1.713663495594271,1.7269156627841136,1.5809601283683072,1.5942122955581504,-1.0000000000000062,0.5,0.18181818181818182,0.38636363636363635,0.11363636363636363,37.5,96.5,1.9317028328202004,3.522221373261227,1.5905185404410265,34,1.9317028328202004,3.522221373261227,1.5905185404410265,54,0.18518518518518517,1.8053016301714624,84,0.48406243153600975
xauusd,all,2024,286,-0.055262897543763276,0.38461538461538464,1.4540853107559526,1.460027245913255,1.509348208299716,1.5152901434570187,-0.9999999999999656,0.4825174825174825,0.14685314685314685,0.3776223776223776,0.1048951048951049,44.5,101.99999999999999,1.4477888177336384,2.934031931041997,1.4862431133083585,108,1.4403490856572148,2.9759357698269806,1.5355866841697663,173,0.16184971098265896,1.8461924929946145,276,0.4147571438666014
xauusd,all,2025,281,-0.025926086289508116,0.4128113879003559,1.4356159742484726,1.4356159742484726,1.461542060537981,1.461542060537981,-0.9999999999999744,0.47330960854092524,0.1387900355871886,0.4092526690391459,0.06405693950177936,38.5,112.0,1.3484698454183897,2.8023148202865085,1.4538449748681195,115,1.3577543993445962,2.81886175896354,1.461107359618944,163,0.11042944785276074,1.8055897714160427,257,0.3963003544833248
xauusd,all,2026,178,-0.052744801265099506,0.38764044943820225,1.458696494653447,1.458696494653447,1.5114412959185468,1.5114412959185468,-1.000000000000004,0.47191011235955055,0.1404494382022472,0.38202247191011235,0.0898876404494382,36.0,105.0,1.4436455952591478,2.99410344416462,1.5504578489054717,68,1.451027160609725,3.024285860234395,1.5732586996246698,109,0.14678899082568808,1.9683279401677887,162,0.4151266085647957
