asset,policy,cost,initial_balance_usd,risk_percent,candidate_trades,executed_trades,skipped_min_lot,executable_fraction,final_balance_usd,return_percent,maximum_balance_drawdown_percent,mean_monthly_return_percent,risk_budget_breaches,worst_realized_loss_over_budget,ruined
xauusd,baseline,base,3000,1,745,720,25,0.9664429530201343,2190.017800735894,-26.99940664213687,35.36660450314413,-0.7842694114870136,1,1.601101905493765,False
xauusd,long_only,base,3000,1,390,389,1,0.9974358974358974,4356.886258178123,45.22954193927078,10.532158326398399,1.256912630545453,0,0.9953148238008616,False
xauusd,short_only,base,3000,1,355,309,46,0.8704225352112676,1419.412437354233,-52.68625208819224,53.92861243763004,-2.224457735956892,1,1.754580748751747,False
xauusd,trend_aligned,base,3000,1,377,376,1,0.9973474801061007,4129.4275947025735,37.64758649008579,10.532158326398399,1.0870030216708506,0,0.9953148238008616,False
xauusd,baseline,stress,3000,1,743,698,45,0.9394347240915208,1736.97779541914,-42.10074015269534,46.03021084424913,-1.5267368754331785,1,1.660229235546323,False
xauusd,long_only,stress,3000,1,388,386,2,0.9948453608247423,3780.6071084142613,26.02023694714204,10.884999935882218,0.7964594329559986,0,0.9992112247788115,False
xauusd,short_only,stress,3000,1,355,283,72,0.7971830985915493,1266.2669961926633,-57.79110012691122,59.62657112664183,-2.5700465996475064,1,1.6156787685237577,False
xauusd,trend_aligned,stress,3000,1,375,373,2,0.9946666666666667,3692.7158448979567,23.090528163265223,10.884999935882218,0.7237663921616118,0,0.9992112247788115,False
sp500,baseline,base,3000,1,688,688,0,1.0,5525.573710024956,84.1857903341652,24.485390127772398,2.2282094043149843,8,1.1840175523995167,False
sp500,long_only,base,3000,1,308,308,0,1.0,5976.640157367781,99.22133857892604,15.474855379816333,2.4120953584264164,4,1.1852482884448179,False
sp500,short_only,base,3000,1,380,380,0,1.0,2771.6833675560692,-7.610554414797688,33.41860121222033,-0.15880984097039852,4,1.0100196800116468,False
sp500,trend_aligned,base,3000,1,296,296,0,1.0,5528.840123559708,84.29467078532362,15.062452461985053,2.1140222596883462,4,1.1852481058834743,False
sp500,baseline,stress,3000,1,689,689,0,1.0,3692.5049813756914,23.08349937918972,29.518869584290147,0.9326477385288398,9,1.2209954402717236,False
sp500,long_only,stress,3000,1,308,308,0,1.0,5450.568381944752,81.68561273149173,16.203326059192065,2.1306540648262127,2,1.220593149126136,False
sp500,short_only,stress,3000,1,381,381,0,1.0,2032.3627788081449,-32.2545740397285,43.26630979873683,-1.1160921074485608,8,1.0575369086730573,False
sp500,trend_aligned,stress,3000,1,296,296,0,1.0,5164.103430732656,72.13678102442186,16.265153839976666,1.9073289733505505,2,1.2199208134048516,False
