asset,policy,cost,year,trades,total_r
xauusd,baseline,base,2024,286,-15.8051886975163
xauusd,baseline,base,2025,281,-7.2852302473517785
xauusd,baseline,base,2026,178,-9.388574625187717
xauusd,long_only,base,2024,158,12.80402185287156
xauusd,long_only,base,2025,150,24.67672920107794
xauusd,long_only,base,2026,82,5.13693367272753
xauusd,short_only,base,2024,128,-28.609210550387857
xauusd,short_only,base,2025,131,-31.961959448429717
xauusd,short_only,base,2026,96,-14.525508297915252
xauusd,trend_aligned,base,2024,158,12.80402185287156
xauusd,trend_aligned,base,2025,150,24.67672920107794
xauusd,trend_aligned,base,2026,69,1.6814000723769067
xauusd,baseline,stress,2024,284,-35.374758140531384
xauusd,baseline,stress,2025,281,-13.88070453891569
xauusd,baseline,stress,2026,178,-12.35419745327827
xauusd,long_only,stress,2024,156,7.240443315403544
xauusd,long_only,stress,2025,150,20.145268843409635
xauusd,long_only,stress,2026,82,3.0321155133995514
xauusd,short_only,stress,2024,128,-42.61520145593492
xauusd,short_only,stress,2025,131,-34.02597338232531
xauusd,short_only,stress,2026,96,-15.386312966677824
xauusd,trend_aligned,stress,2024,156,7.240443315403544
xauusd,trend_aligned,stress,2025,150,20.145268843409635
xauusd,trend_aligned,stress,2026,69,-0.15520256725847525
sp500,baseline,base,2024,265,23.454637544764992
sp500,baseline,base,2025,265,31.635651128357697
sp500,baseline,base,2026,158,17.676501498820304
sp500,long_only,base,2024,122,43.4337680042263
sp500,long_only,base,2025,116,25.897349099020072
sp500,long_only,base,2026,70,5.998605182935512
sp500,short_only,base,2024,143,-19.97913045946131
sp500,short_only,base,2025,149,5.73830202933763
sp500,short_only,base,2026,88,11.677896315884794
sp500,trend_aligned,base,2024,122,43.4337680042263
sp500,trend_aligned,base,2025,109,23.328730059613516
sp500,trend_aligned,base,2026,65,0.3068122626317138
sp500,baseline,stress,2024,265,6.686369628152924
sp500,baseline,stress,2025,265,21.935596349324918
sp500,baseline,stress,2026,159,3.185206807867349
sp500,long_only,stress,2024,122,35.868141029588045
sp500,long_only,stress,2025,116,26.00676102085729
sp500,long_only,stress,2026,70,4.145239751669235
sp500,short_only,stress,2024,143,-29.181771401435114
sp500,short_only,stress,2025,149,-4.071164671532375
sp500,short_only,stress,2026,89,-0.9600329438018889
sp500,trend_aligned,stress,2024,122,35.868141029588045
sp500,trend_aligned,stress,2025,109,25.65347311684542
sp500,trend_aligned,stress,2026,65,-1.4253137448649738
