asset,policy,cost,month,net_r
xauusd,baseline,base,2024-01,-8.754811649200436
xauusd,baseline,base,2024-02,-6.640060747400558
xauusd,baseline,base,2024-03,-0.6481217070936447
xauusd,baseline,base,2024-04,-5.786218054539702
xauusd,baseline,base,2024-05,-0.41470942103053765
xauusd,baseline,base,2024-06,-2.8868826883764145
xauusd,baseline,base,2024-07,5.05719693332163
xauusd,baseline,base,2024-08,-4.077954731366791
xauusd,baseline,base,2024-09,-11.940343549224972
xauusd,baseline,base,2024-10,11.165973523828079
xauusd,baseline,base,2024-11,13.895740364630305
xauusd,baseline,base,2024-12,-4.534656979865434
xauusd,baseline,base,2025-01,-4.778720047794928
xauusd,baseline,base,2025-02,-7.458879301952172
xauusd,baseline,base,2025-03,-6.468475053092093
xauusd,baseline,base,2025-04,4.868781205990267
xauusd,baseline,base,2025-05,5.9587900608632065
xauusd,baseline,base,2025-06,-11.391863296872792
xauusd,baseline,base,2025-07,-1.9388508712847519
xauusd,baseline,base,2025-08,12.350503254559714
xauusd,baseline,base,2025-09,4.066912526999091
xauusd,baseline,base,2025-10,8.197404959882675
xauusd,baseline,base,2025-11,0.23927477851304352
xauusd,baseline,base,2025-12,-10.170448454360832
xauusd,baseline,base,2026-01,-2.2621481036886553
xauusd,baseline,base,2026-02,-0.06068048672196555
xauusd,baseline,base,2026-03,-1.6717149900703416
xauusd,baseline,base,2026-04,-14.69117962057045
xauusd,baseline,base,2026-05,1.3185918268627197
xauusd,baseline,base,2026-06,4.641916407871786
xauusd,baseline,base,2026-07,10.719109803407317
xauusd,baseline,base,2026-08,-8.382469462278157
xauusd,long_only,base,2024-01,-3.502052143304887
xauusd,long_only,base,2024-02,1.0162216095217582
xauusd,long_only,base,2024-03,5.849637914126363
xauusd,long_only,base,2024-04,0.9178268269633401
xauusd,long_only,base,2024-05,-0.2924431495448593
xauusd,long_only,base,2024-06,-0.338920491924775
xauusd,long_only,base,2024-07,0.7292851695545997
xauusd,long_only,base,2024-08,0.003185631831415625
xauusd,long_only,base,2024-09,-0.5033718360500723
xauusd,long_only,base,2024-10,10.995255789657163
xauusd,long_only,base,2024-11,0.41613381729463494
xauusd,long_only,base,2024-12,-2.246397294055302
xauusd,long_only,base,2025-01,-2.270050929565465
xauusd,long_only,base,2025-02,3.5533918556045276
xauusd,long_only,base,2025-03,0.15470529996922056
xauusd,long_only,base,2025-04,1.9015637524384703
xauusd,long_only,base,2025-05,5.082661908156488
xauusd,long_only,base,2025-06,-5.0040375993849695
xauusd,long_only,base,2025-07,4.967872376454452
xauusd,long_only,base,2025-08,11.607520573939837
xauusd,long_only,base,2025-09,2.0889668005780218
xauusd,long_only,base,2025-10,4.755143406320917
xauusd,long_only,base,2025-11,7.162055746060494
xauusd,long_only,base,2025-12,-9.563403980691872
xauusd,long_only,base,2026-01,5.737851896311582
xauusd,long_only,base,2026-02,-1.3145615993078357
xauusd,long_only,base,2026-03,-1.1673178489923293
xauusd,long_only,base,2026-04,-6.894668921432881
xauusd,long_only,base,2026-05,2.2475751934041566
xauusd,long_only,base,2026-06,-1.565459121065061
xauusd,long_only,base,2026-07,7.08845863690954
xauusd,long_only,base,2026-08,1.005055436900357
xauusd,short_only,base,2024-01,-5.252759505895549
xauusd,short_only,base,2024-02,-7.656282356922317
xauusd,short_only,base,2024-03,-6.497759621220008
xauusd,short_only,base,2024-04,-6.704044881503043
xauusd,short_only,base,2024-05,-0.12226627148567837
xauusd,short_only,base,2024-06,-2.54796219645164
xauusd,short_only,base,2024-07,4.32791176376703
xauusd,short_only,base,2024-08,-4.081140363198207
xauusd,short_only,base,2024-09,-11.436971713174898
xauusd,short_only,base,2024-10,0.1707177341709144
xauusd,short_only,base,2024-11,13.47960654733567
xauusd,short_only,base,2024-12,-2.2882596858101327
xauusd,short_only,base,2025-01,-2.5086691182294625
xauusd,short_only,base,2025-02,-11.0122711575567
xauusd,short_only,base,2025-03,-6.623180353061314
xauusd,short_only,base,2025-04,2.967217453551797
xauusd,short_only,base,2025-05,0.8761281527067186
xauusd,short_only,base,2025-06,-6.387825697487823
xauusd,short_only,base,2025-07,-6.906723247739203
xauusd,short_only,base,2025-08,0.7429826806198755
xauusd,short_only,base,2025-09,1.9779457264210687
xauusd,short_only,base,2025-10,3.4422615535617584
xauusd,short_only,base,2025-11,-6.9227809675474505
xauusd,short_only,base,2025-12,-0.6070444736689595
xauusd,short_only,base,2026-01,-8.000000000000238
xauusd,short_only,base,2026-02,1.2538811125858698
xauusd,short_only,base,2026-03,-0.5043971410780129
xauusd,short_only,base,2026-04,-7.796510699137569
xauusd,short_only,base,2026-05,-0.9289833665414364
xauusd,short_only,base,2026-06,6.207375528936847
xauusd,short_only,base,2026-07,3.6306511664977767
xauusd,short_only,base,2026-08,-9.387524899178514
