available_at,close,ema,slope,regime
2022-01-03 00:00:00+00:00,1828.521,,,unavailable
2022-01-04 00:00:00+00:00,1804.17,,,unavailable
2022-01-05 00:00:00+00:00,1813.942,,,unavailable
2022-01-06 00:00:00+00:00,1810.313,,,unavailable
2022-01-07 00:00:00+00:00,1791.433,,,unavailable
2022-01-08 00:00:00+00:00,1796.968,,,unavailable
2022-01-10 00:00:00+00:00,1795.214,,,unavailable
2022-01-11 00:00:00+00:00,1801.294,,,unavailable
2022-01-12 00:00:00+00:00,1820.791,,,unavailable
2022-01-13 00:00:00+00:00,1825.346,,,unavailable
2022-01-14 00:00:00+00:00,1820.887,,,unavailable
2022-01-15 00:00:00+00:00,1817.708,,,unavailable
2022-01-17 00:00:00+00:00,1816.447,,,unavailable
2022-01-18 00:00:00+00:00,1819.129,,,unavailable
2022-01-19 00:00:00+00:00,1814.279,,,unavailable
2022-01-20 00:00:00+00:00,1838.563,,,unavailable
2022-01-21 00:00:00+00:00,1838.958,,,unavailable
2022-01-22 00:00:00+00:00,1834.733,,,unavailable
2022-01-24 00:00:00+00:00,1834.737,,,unavailable
2022-01-25 00:00:00+00:00,1843.59,,,unavailable
2022-01-26 00:00:00+00:00,1849.595,,,unavailable
2022-01-27 00:00:00+00:00,1821.997,,,unavailable
2022-01-28 00:00:00+00:00,1797.274,,,unavailable
2022-01-29 00:00:00+00:00,1791.703,,,unavailable
2022-01-31 00:00:00+00:00,1789.533,,,unavailable
2022-02-01 00:00:00+00:00,1797.807,,,unavailable
2022-02-02 00:00:00+00:00,1800.763,,,unavailable
2022-02-03 00:00:00+00:00,1807.899,,,unavailable
2022-02-04 00:00:00+00:00,1805.787,,,unavailable
2022-02-05 00:00:00+00:00,1807.801,,,unavailable
2022-02-07 00:00:00+00:00,1810.097,,,unavailable
2022-02-08 00:00:00+00:00,1822.072,,,unavailable
2022-02-09 00:00:00+00:00,1826.203,,,unavailable
2022-02-10 00:00:00+00:00,1832.61,,,unavailable
2022-02-11 00:00:00+00:00,1826.865,,,unavailable
2022-02-12 00:00:00+00:00,1859.024,,,unavailable
2022-02-14 00:00:00+00:00,1859.606,,,unavailable
2022-02-15 00:00:00+00:00,1871.117,,,unavailable
2022-02-16 00:00:00+00:00,1853.032,,,unavailable
2022-02-17 00:00:00+00:00,1869.975,,,unavailable
2022-02-18 00:00:00+00:00,1900.012,,,unavailable
2022-02-19 00:00:00+00:00,1897.876,,,unavailable
2022-02-21 00:00:00+00:00,1904.932,,,unavailable
2022-02-22 00:00:00+00:00,1909.481,,,unavailable
2022-02-23 00:00:00+00:00,1898.227,,,unavailable
2022-02-24 00:00:00+00:00,1910.826,,,unavailable
2022-02-25 00:00:00+00:00,1906.6,,,unavailable
2022-02-26 00:00:00+00:00,1889.071,,,unavailable
2022-02-28 00:00:00+00:00,1910.279,,,unavailable
2022-03-01 00:00:00+00:00,1906.336,,,unavailable
2022-03-02 00:00:00+00:00,1942.338,,,unavailable
2022-03-03 00:00:00+00:00,1928.874,,,unavailable
2022-03-04 00:00:00+00:00,1934.939,,,unavailable
2022-03-05 00:00:00+00:00,1970.386,,,unavailable
2022-03-07 00:00:00+00:00,1988.652,,,unavailable
2022-03-08 00:00:00+00:00,1998.804,,,unavailable
2022-03-09 00:00:00+00:00,2043.896,,,unavailable
2022-03-10 00:00:00+00:00,1989.936,,,unavailable
2022-03-11 00:00:00+00:00,1995.455,,,unavailable
2022-03-12 00:00:00+00:00,1988.215,,,unavailable
2022-03-14 00:00:00+00:00,1974.37,,,unavailable
2022-03-15 00:00:00+00:00,1952.253,,,unavailable
2022-03-16 00:00:00+00:00,1918.154,,,unavailable
2022-03-17 00:00:00+00:00,1927.102,,,unavailable
2022-03-18 00:00:00+00:00,1944.016,,,unavailable
2022-03-19 00:00:00+00:00,1921.339,,,unavailable
2022-03-21 00:00:00+00:00,1919.054,,,unavailable
2022-03-22 00:00:00+00:00,1935.647,,,unavailable
2022-03-23 00:00:00+00:00,1919.733,,,unavailable
2022-03-24 00:00:00+00:00,1946.174,,,unavailable
2022-03-25 00:00:00+00:00,1959.285,,,unavailable
2022-03-26 00:00:00+00:00,1958.312,,,unavailable
2022-03-28 00:00:00+00:00,1957.278,,,unavailable
2022-03-29 00:00:00+00:00,1924.11,,,unavailable
2022-03-30 00:00:00+00:00,1916.423,,,unavailable
2022-03-31 00:00:00+00:00,1934.113,,,unavailable
2022-04-01 00:00:00+00:00,1936.771,,,unavailable
2022-04-02 00:00:00+00:00,1924.564,,,unavailable
2022-04-04 00:00:00+00:00,1924.743,,,unavailable
2022-04-05 00:00:00+00:00,1931.562,,,unavailable
2022-04-06 00:00:00+00:00,1920.687,,,unavailable
2022-04-07 00:00:00+00:00,1923.875,,,unavailable
2022-04-08 00:00:00+00:00,1933.007,,,unavailable
2022-04-09 00:00:00+00:00,1947.936,,,unavailable
2022-04-11 00:00:00+00:00,1944.675,,,unavailable
2022-04-12 00:00:00+00:00,1952.867,,,unavailable
2022-04-13 00:00:00+00:00,1965.967,,,unavailable
2022-04-14 00:00:00+00:00,1977.15,,,unavailable
2022-04-15 00:00:00+00:00,1973.22,,,unavailable
2022-04-18 00:00:00+00:00,1986.661,,,unavailable
2022-04-19 00:00:00+00:00,1977.23,,,unavailable
2022-04-20 00:00:00+00:00,1949.786,,,unavailable
2022-04-21 00:00:00+00:00,1956.865,,,unavailable
2022-04-22 00:00:00+00:00,1950.966,,,unavailable
2022-04-23 00:00:00+00:00,1931.568,,,unavailable
2022-04-25 00:00:00+00:00,1932.732,,,unavailable
2022-04-26 00:00:00+00:00,1899.444,,,unavailable
2022-04-27 00:00:00+00:00,1906.598,,,unavailable
2022-04-28 00:00:00+00:00,1885.702,,,unavailable
2022-04-29 00:00:00+00:00,1895.584,,,unavailable
2022-04-30 00:00:00+00:00,1896.789,,,unavailable
2022-05-02 00:00:00+00:00,1897.304,,,unavailable
2022-05-03 00:00:00+00:00,1863.219,,,unavailable
2022-05-04 00:00:00+00:00,1868.398,,,unavailable
2022-05-05 00:00:00+00:00,1894.001,,,unavailable
2022-05-06 00:00:00+00:00,1874.299,,,unavailable
2022-05-07 00:00:00+00:00,1883.699,,,unavailable
2022-05-09 00:00:00+00:00,1881.325,,,unavailable
2022-05-10 00:00:00+00:00,1854.705,,,unavailable
2022-05-11 00:00:00+00:00,1833.653,,,unavailable
2022-05-12 00:00:00+00:00,1854.133,,,unavailable
2022-05-13 00:00:00+00:00,1821.448,,,unavailable
2022-05-14 00:00:00+00:00,1811.559,,,unavailable
2022-05-16 00:00:00+00:00,1813.23,,,unavailable
2022-05-17 00:00:00+00:00,1826.422,,,unavailable
2022-05-18 00:00:00+00:00,1814.59,,,unavailable
2022-05-19 00:00:00+00:00,1816.084,,,unavailable
2022-05-20 00:00:00+00:00,1842.141,,,unavailable
2022-05-21 00:00:00+00:00,1846.555,,,unavailable
2022-05-23 00:00:00+00:00,1846.352,,,unavailable
2022-05-24 00:00:00+00:00,1853.952,,,unavailable
2022-05-25 00:00:00+00:00,1867.398,,,unavailable
2022-05-26 00:00:00+00:00,1854.042,,,unavailable
2022-05-27 00:00:00+00:00,1852.868,,,unavailable
2022-05-28 00:00:00+00:00,1853.092,,,unavailable
2022-05-30 00:00:00+00:00,1849.918,,,unavailable
2022-05-31 00:00:00+00:00,1852.453,,,unavailable
2022-06-01 00:00:00+00:00,1836.472,,,unavailable
2022-06-02 00:00:00+00:00,1846.017,,,unavailable
2022-06-03 00:00:00+00:00,1869.924,,,unavailable
2022-06-04 00:00:00+00:00,1851.028,,,unavailable
2022-06-06 00:00:00+00:00,1851.547,,,unavailable
2022-06-07 00:00:00+00:00,1839.454,,,unavailable
2022-06-08 00:00:00+00:00,1853.634,,,unavailable
2022-06-09 00:00:00+00:00,1852.76,,,unavailable
2022-06-10 00:00:00+00:00,1846.987,,,unavailable
2022-06-11 00:00:00+00:00,1871.601,,,unavailable
2022-06-13 00:00:00+00:00,1877.018,,,unavailable
2022-06-14 00:00:00+00:00,1821.082,,,unavailable
2022-06-15 00:00:00+00:00,1810.971,,,unavailable
2022-06-16 00:00:00+00:00,1833.896,,,unavailable
2022-06-17 00:00:00+00:00,1850.878,,,unavailable
2022-06-18 00:00:00+00:00,1840.317,,,unavailable
2022-06-20 00:00:00+00:00,1838.501,,,unavailable
2022-06-21 00:00:00+00:00,1839.145,,,unavailable
2022-06-22 00:00:00+00:00,1831.388,,,unavailable
2022-06-23 00:00:00+00:00,1836.631,,,unavailable
2022-06-24 00:00:00+00:00,1824.651,,,unavailable
2022-06-25 00:00:00+00:00,1827.168,,,unavailable
2022-06-27 00:00:00+00:00,1831.093,,,unavailable
2022-06-28 00:00:00+00:00,1823.562,,,unavailable
2022-06-29 00:00:00+00:00,1818.446,,,unavailable
2022-06-30 00:00:00+00:00,1818.952,,,unavailable
2022-07-01 00:00:00+00:00,1806.617,,,unavailable
2022-07-02 00:00:00+00:00,1809.41,,,unavailable
2022-07-04 00:00:00+00:00,1808.139,,,unavailable
2022-07-05 00:00:00+00:00,1809.354,,,unavailable
2022-07-06 00:00:00+00:00,1769.595,,,unavailable
2022-07-07 00:00:00+00:00,1740.027,,,unavailable
2022-07-08 00:00:00+00:00,1741.791,,,unavailable
2022-07-09 00:00:00+00:00,1742.318,,,unavailable
2022-07-11 00:00:00+00:00,1742.034,,,unavailable
2022-07-12 00:00:00+00:00,1733.307,,,unavailable
2022-07-13 00:00:00+00:00,1725.355,,,unavailable
2022-07-14 00:00:00+00:00,1732.059,,,unavailable
2022-07-15 00:00:00+00:00,1711.724,,,unavailable
2022-07-16 00:00:00+00:00,1707.508,,,unavailable
2022-07-18 00:00:00+00:00,1710.365,,,unavailable
2022-07-19 00:00:00+00:00,1708.284,,,unavailable
2022-07-20 00:00:00+00:00,1710.023,,,unavailable
2022-07-21 00:00:00+00:00,1695.474,,,unavailable
2022-07-22 00:00:00+00:00,1718.145,,,unavailable
2022-07-23 00:00:00+00:00,1727.538,,,unavailable
2022-07-25 00:00:00+00:00,1724.742,,,unavailable
2022-07-26 00:00:00+00:00,1719.059,,,unavailable
2022-07-27 00:00:00+00:00,1717.969,,,unavailable
2022-07-28 00:00:00+00:00,1738.838,,,unavailable
2022-07-29 00:00:00+00:00,1754.977,,,unavailable
2022-07-30 00:00:00+00:00,1766.247,,,unavailable
2022-08-01 00:00:00+00:00,1762.21,,,unavailable
2022-08-02 00:00:00+00:00,1772.297,,,unavailable
2022-08-03 00:00:00+00:00,1756.744,,,unavailable
2022-08-04 00:00:00+00:00,1763.655,,,unavailable
2022-08-05 00:00:00+00:00,1793.449,,,unavailable
2022-08-06 00:00:00+00:00,1775.697,,,unavailable
2022-08-08 00:00:00+00:00,1774.627,,,unavailable
2022-08-09 00:00:00+00:00,1789.261,,,unavailable
2022-08-10 00:00:00+00:00,1794.15,,,unavailable
2022-08-11 00:00:00+00:00,1791.729,,,unavailable
2022-08-12 00:00:00+00:00,1789.019,,,unavailable
2022-08-13 00:00:00+00:00,1802.003,,,unavailable
2022-08-15 00:00:00+00:00,1799.172,,,unavailable
2022-08-16 00:00:00+00:00,1778.578,,,unavailable
2022-08-17 00:00:00+00:00,1775.625,,,unavailable
2022-08-18 00:00:00+00:00,1764.978,,,unavailable
2022-08-19 00:00:00+00:00,1758.456,,,unavailable
2022-08-20 00:00:00+00:00,1747.445,,,unavailable
2022-08-22 00:00:00+00:00,1745.733,,,unavailable
2022-08-23 00:00:00+00:00,1735.289,,,unavailable
2022-08-24 00:00:00+00:00,1746.039,1823.5460516776568,,unavailable
2022-08-25 00:00:00+00:00,1751.049,1822.8246879793717,,unavailable
2022-08-26 00:00:00+00:00,1756.452,1822.1642632233581,,unavailable
2022-08-27 00:00:00+00:00,1738.067,1821.3274745345686,,unavailable
2022-08-29 00:00:00+00:00,1734.803,1820.4665344894486,,unavailable
2022-08-30 00:00:00+00:00,1739.595,1819.6618426039815,,unavailable
2022-08-31 00:00:00+00:00,1723.373,1818.7037446676236,,unavailable
