asset,variant,year,net_bps,trades
sp500,official_original,2024,0.0,0
sp500,official_original,2025,-450.7881996572193,34
sp500,official_original,2026,51.42209496132975,33
sp500,causal_lorentzian,2024,-55.96635841226688,40
sp500,causal_lorentzian,2025,384.3164712706424,26
sp500,causal_lorentzian,2026,-53.18359275200892,23
sp500,causal_euclidean,2024,-103.72358205395857,34
sp500,causal_euclidean,2025,424.68423499501364,26
sp500,causal_euclidean,2026,-350.68430120516086,23
sp500,simple_momentum4,2024,441.9012559549548,55
sp500,simple_momentum4,2025,-9.731210837889506,54
sp500,simple_momentum4,2026,-385.0403702930386,38
sp500,filter_only_kernel,2024,565.0924670064225,52
sp500,filter_only_kernel,2025,-325.7623226028611,56
sp500,filter_only_kernel,2026,-145.1635280010177,37
xauusd,official_original,2024,0.0,0
xauusd,official_original,2025,870.9439657195494,26
xauusd,official_original,2026,436.6606474107822,33
xauusd,causal_lorentzian,2024,370.6703196246072,35
xauusd,causal_lorentzian,2025,382.75216733085085,51
xauusd,causal_lorentzian,2026,-435.6194028895462,22
xauusd,causal_euclidean,2024,422.4218938474588,38
xauusd,causal_euclidean,2025,87.14274608457357,45
xauusd,causal_euclidean,2026,-439.0155456314152,22
xauusd,simple_momentum4,2024,176.7714144220588,41
xauusd,simple_momentum4,2025,1148.542240122188,49
xauusd,simple_momentum4,2026,443.97499354721117,36
xauusd,filter_only_kernel,2024,208.86128469091503,45
xauusd,filter_only_kernel,2025,1267.2494093458301,48
xauusd,filter_only_kernel,2026,1044.960145761495,34
