asset,variant,month,net_bps,trades,year
sp500,official_original,2024-01,0.0,0,2024
sp500,official_original,2024-02,0.0,0,2024
sp500,official_original,2024-03,0.0,0,2024
sp500,official_original,2024-04,0.0,0,2024
sp500,official_original,2024-05,0.0,0,2024
sp500,official_original,2024-06,0.0,0,2024
sp500,official_original,2024-07,0.0,0,2024
sp500,official_original,2024-08,0.0,0,2024
sp500,official_original,2024-09,0.0,0,2024
sp500,official_original,2024-10,0.0,0,2024
sp500,official_original,2024-11,0.0,0,2024
sp500,official_original,2024-12,0.0,0,2024
sp500,official_original,2025-01,0.0,0,2025
sp500,official_original,2025-02,0.0,0,2025
sp500,official_original,2025-03,0.0,0,2025
sp500,official_original,2025-04,0.0,0,2025
sp500,official_original,2025-05,0.0,0,2025
sp500,official_original,2025-06,-37.125570136552994,5,2025
sp500,official_original,2025-07,-129.68815925361528,5,2025
sp500,official_original,2025-08,-35.47936259699566,3,2025
sp500,official_original,2025-09,34.29015250838815,3,2025
sp500,official_original,2025-10,-77.41883539791338,8,2025
sp500,official_original,2025-11,-179.14891248771247,5,2025
sp500,official_original,2025-12,-26.217512292817673,5,2025
sp500,official_original,2026-01,-189.56397438631066,10,2026
sp500,official_original,2026-02,-21.134395939879933,1,2026
sp500,official_original,2026-03,42.06920701703912,8,2026
sp500,official_original,2026-04,0.0,0,2026
sp500,official_original,2026-05,64.3179768136522,4,2026
sp500,official_original,2026-06,135.3381141383746,6,2026
sp500,official_original,2026-07,-19.50009127337708,2,2026
sp500,official_original,2026-08,39.89525859183151,2,2026
sp500,causal_lorentzian,2024-01,-3.5294398299797862,4,2024
sp500,causal_lorentzian,2024-02,2.8670235101007986,3,2024
sp500,causal_lorentzian,2024-03,-38.99643171752061,3,2024
sp500,causal_lorentzian,2024-04,-205.96690384541176,6,2024
sp500,causal_lorentzian,2024-05,82.57780551968538,2,2024
sp500,causal_lorentzian,2024-06,-71.00627239142378,2,2024
sp500,causal_lorentzian,2024-07,-132.6000830910452,8,2024
sp500,causal_lorentzian,2024-08,225.3974676862688,3,2024
sp500,causal_lorentzian,2024-09,91.21797837143966,2,2024
sp500,causal_lorentzian,2024-10,26.654812304967905,1,2024
sp500,causal_lorentzian,2024-11,45.349066205909416,2,2024
sp500,causal_lorentzian,2024-12,-77.93138113525772,4,2024
sp500,causal_lorentzian,2025-01,-38.59141746991669,4,2025
sp500,causal_lorentzian,2025-02,-6.956173469334317,3,2025
sp500,causal_lorentzian,2025-03,227.15307943096855,2,2025
sp500,causal_lorentzian,2025-04,275.5723875467144,1,2025
sp500,causal_lorentzian,2025-05,-6.87807455078093,1,2025
sp500,causal_lorentzian,2025-06,25.22710046721043,1,2025
sp500,causal_lorentzian,2025-07,-19.55961454132703,3,2025
sp500,causal_lorentzian,2025-08,147.57138345490006,4,2025
sp500,causal_lorentzian,2025-09,-38.11980916838125,2,2025
sp500,causal_lorentzian,2025-10,0.0,0,2025
sp500,causal_lorentzian,2025-11,-152.06302660766727,4,2025
sp500,causal_lorentzian,2025-12,-29.03936382174356,1,2025
sp500,causal_lorentzian,2026-01,-79.34695375839361,5,2026
sp500,causal_lorentzian,2026-02,190.97962458539567,3,2026
sp500,causal_lorentzian,2026-03,-247.18759319531276,6,2026
sp500,causal_lorentzian,2026-04,13.061907465350545,1,2026
sp500,causal_lorentzian,2026-05,60.308439704029226,2,2026
sp500,causal_lorentzian,2026-06,-32.7610545613332,4,2026
sp500,causal_lorentzian,2026-07,34.835401726971995,1,2026
sp500,causal_lorentzian,2026-08,6.926635281283198,1,2026
sp500,causal_euclidean,2024-01,-3.5294398299797862,4,2024
sp500,causal_euclidean,2024-02,-89.4404414352767,2,2024
sp500,causal_euclidean,2024-03,0.0,0,2024
sp500,causal_euclidean,2024-04,-65.1700571263446,2,2024
sp500,causal_euclidean,2024-05,103.80488146001345,2,2024
sp500,causal_euclidean,2024-06,-71.00627239142378,2,2024
sp500,causal_euclidean,2024-07,-137.09927079314153,7,2024
sp500,causal_euclidean,2024-08,23.192937097246134,4,2024
sp500,causal_euclidean,2024-09,91.21797837143966,2,2024
sp500,causal_euclidean,2024-10,40.99495633444314,2,2024
sp500,causal_euclidean,2024-11,130.20876736238142,2,2024
sp500,causal_euclidean,2024-12,-126.89762110331596,5,2024
sp500,causal_euclidean,2025-01,64.8539327754803,5,2025
sp500,causal_euclidean,2025-02,-6.956173469334317,3,2025
