asset,timeframe,scope,variant,year,net_bps,trades
sp500,15min,full_history,causal_lorentzian,2024,-204.5286094741726,468
sp500,15min,full_history,causal_lorentzian,2025,-777.0334543831341,518
sp500,15min,full_history,causal_lorentzian,2026,-640.1373688105095,366
sp500,15min,full_history,causal_euclidean,2024,-319.69966018780474,487
sp500,15min,full_history,causal_euclidean,2025,-306.45459302972733,502
sp500,15min,full_history,causal_euclidean,2026,-393.6115096769007,389
sp500,15min,full_history,simple_momentum4,2024,-160.5738118348632,698
sp500,15min,full_history,simple_momentum4,2025,-1574.5696371803117,713
sp500,15min,full_history,simple_momentum4,2026,-853.3986616544265,493
sp500,15min,full_history,filter_only_kernel,2024,10.928709639370462,699
sp500,15min,full_history,filter_only_kernel,2025,-1651.8509602625777,712
sp500,15min,full_history,filter_only_kernel,2026,-554.849986917764,497
sp500,15min,recent_2000_scored_bars,official_original_recent,2026,-198.68841560102362,51
sp500,30min,full_history,causal_lorentzian,2024,-307.1195410207741,261
sp500,30min,full_history,causal_lorentzian,2025,500.3479530471382,266
sp500,30min,full_history,causal_lorentzian,2026,-46.61890346601817,162
sp500,30min,full_history,causal_euclidean,2024,-288.4782644130428,266
sp500,30min,full_history,causal_euclidean,2025,316.9773641451457,272
sp500,30min,full_history,causal_euclidean,2026,-464.211413343656,160
sp500,30min,full_history,simple_momentum4,2024,182.59970390327982,364
sp500,30min,full_history,simple_momentum4,2025,122.97485074559253,361
sp500,30min,full_history,simple_momentum4,2026,-254.49070918581498,244
sp500,30min,full_history,filter_only_kernel,2024,158.17451796058333,372
sp500,30min,full_history,filter_only_kernel,2025,-1.8704691038707892,360
sp500,30min,full_history,filter_only_kernel,2026,-512.3149795596722,242
sp500,30min,recent_2000_scored_bars,official_original_recent,2026,83.69504335252026,62
sp500,1h,full_history,causal_lorentzian,2024,-429.94170596528284,129
sp500,1h,full_history,causal_lorentzian,2025,890.1180750211948,129
sp500,1h,full_history,causal_lorentzian,2026,-696.3578998868205,84
sp500,1h,full_history,causal_euclidean,2024,-22.52343799550266,122
sp500,1h,full_history,causal_euclidean,2025,765.4221869492309,130
sp500,1h,full_history,causal_euclidean,2026,-844.6794353544087,89
sp500,1h,full_history,simple_momentum4,2024,-746.0996682583699,207
sp500,1h,full_history,simple_momentum4,2025,816.1192850750102,178
sp500,1h,full_history,simple_momentum4,2026,-1101.729126071195,134
sp500,1h,full_history,filter_only_kernel,2024,-774.1183665317295,206
sp500,1h,full_history,filter_only_kernel,2025,1120.54516521219,180
sp500,1h,full_history,filter_only_kernel,2026,-1409.1478605435263,136
sp500,1h,recent_2000_scored_bars,official_original_recent,2026,-1004.9200479734149,69
xauusd,15min,full_history,causal_lorentzian,2024,-672.430897225907,565
xauusd,15min,full_history,causal_lorentzian,2025,4.7865901122413845,575
xauusd,15min,full_history,causal_lorentzian,2026,324.2244427894971,380
xauusd,15min,full_history,causal_euclidean,2024,-590.329451748901,562
xauusd,15min,full_history,causal_euclidean,2025,-491.14245478799444,581
xauusd,15min,full_history,causal_euclidean,2026,-571.4631624801622,382
xauusd,15min,full_history,simple_momentum4,2024,-173.00290445621278,757
xauusd,15min,full_history,simple_momentum4,2025,262.0672382964128,747
xauusd,15min,full_history,simple_momentum4,2026,106.54878952200022,500
xauusd,15min,full_history,filter_only_kernel,2024,-81.55204580462112,750
xauusd,15min,full_history,filter_only_kernel,2025,223.21987031594426,743
xauusd,15min,full_history,filter_only_kernel,2026,181.45510117433787,491
xauusd,15min,recent_2000_scored_bars,official_original_recent,2026,-30.68135302825212,62
xauusd,30min,full_history,causal_lorentzian,2024,-545.3526340672383,288
xauusd,30min,full_history,causal_lorentzian,2025,-346.95343589322533,289
xauusd,30min,full_history,causal_lorentzian,2026,457.7302420621945,177
xauusd,30min,full_history,causal_euclidean,2024,-241.2454468750865,296
xauusd,30min,full_history,causal_euclidean,2025,282.23655417349414,289
xauusd,30min,full_history,causal_euclidean,2026,269.302716008797,176
xauusd,30min,full_history,simple_momentum4,2024,13.583718263875397,403
xauusd,30min,full_history,simple_momentum4,2025,-287.3887132462842,391
xauusd,30min,full_history,simple_momentum4,2026,1122.406177516321,238
xauusd,30min,full_history,filter_only_kernel,2024,-85.58566754431939,401
xauusd,30min,full_history,filter_only_kernel,2025,-21.669834810814223,391
xauusd,30min,full_history,filter_only_kernel,2026,1405.338069669826,233
xauusd,30min,recent_2000_scored_bars,official_original_recent,2026,172.32788005113338,67
xauusd,1h,full_history,causal_lorentzian,2024,7.7742185902902605,134
xauusd,1h,full_history,causal_lorentzian,2025,222.94275929654881,159
xauusd,1h,full_history,causal_lorentzian,2026,868.9940868959377,69
xauusd,1h,full_history,causal_euclidean,2024,-278.76156017898245,119
xauusd,1h,full_history,causal_euclidean,2025,-246.4191546376822,152
xauusd,1h,full_history,causal_euclidean,2026,1349.6876036140059,70
xauusd,1h,full_history,simple_momentum4,2024,659.1254287859466,194
xauusd,1h,full_history,simple_momentum4,2025,-55.87564138915309,204
xauusd,1h,full_history,simple_momentum4,2026,843.5803773597152,107
xauusd,1h,full_history,filter_only_kernel,2024,506.3190863621501,197
xauusd,1h,full_history,filter_only_kernel,2025,-113.96913537674118,199
xauusd,1h,full_history,filter_only_kernel,2026,635.3952019119329,106
xauusd,1h,recent_2000_scored_bars,official_original_recent,2026,631.0162992353391,60
