asset,timeframe,scope,variant,month,net_bps,trades,year
sp500,15min,full_history,causal_lorentzian,2024-01,-16.835925609708042,47,2024
sp500,15min,full_history,causal_lorentzian,2024-02,4.585392809570928,25,2024
sp500,15min,full_history,causal_lorentzian,2024-03,-80.5045505927526,33,2024
sp500,15min,full_history,causal_lorentzian,2024-04,94.57529994875391,36,2024
sp500,15min,full_history,causal_lorentzian,2024-05,-269.8951279089323,31,2024
sp500,15min,full_history,causal_lorentzian,2024-06,-103.8110839871465,41,2024
sp500,15min,full_history,causal_lorentzian,2024-07,48.274974118722014,48,2024
sp500,15min,full_history,causal_lorentzian,2024-08,44.340751750935354,40,2024
sp500,15min,full_history,causal_lorentzian,2024-09,-195.28928372648883,37,2024
sp500,15min,full_history,causal_lorentzian,2024-10,-46.72403257899695,37,2024
sp500,15min,full_history,causal_lorentzian,2024-11,122.68312555658841,43,2024
sp500,15min,full_history,causal_lorentzian,2024-12,194.07185074528198,50,2024
sp500,15min,full_history,causal_lorentzian,2025-01,115.61429522606453,46,2025
sp500,15min,full_history,causal_lorentzian,2025-02,-234.54457865718916,30,2025
sp500,15min,full_history,causal_lorentzian,2025-03,-50.31061009831217,45,2025
sp500,15min,full_history,causal_lorentzian,2025-04,-139.1984804999304,43,2025
sp500,15min,full_history,causal_lorentzian,2025-05,-373.90703335404896,36,2025
sp500,15min,full_history,causal_lorentzian,2025-06,-12.00662500972283,41,2025
sp500,15min,full_history,causal_lorentzian,2025-07,35.75633358827963,53,2025
sp500,15min,full_history,causal_lorentzian,2025-08,49.42312413043016,35,2025
sp500,15min,full_history,causal_lorentzian,2025-09,-113.56070761116638,48,2025
sp500,15min,full_history,causal_lorentzian,2025-10,0.8687235030984866,54,2025
sp500,15min,full_history,causal_lorentzian,2025-11,40.04120281647936,43,2025
sp500,15min,full_history,causal_lorentzian,2025-12,-95.20909841711631,44,2025
sp500,15min,full_history,causal_lorentzian,2026-01,24.256237283217192,42,2026
sp500,15min,full_history,causal_lorentzian,2026-02,-206.91038835936124,51,2026
sp500,15min,full_history,causal_lorentzian,2026-03,73.79500118862126,50,2026
sp500,15min,full_history,causal_lorentzian,2026-04,98.2422850044991,40,2026
sp500,15min,full_history,causal_lorentzian,2026-05,-104.54201236947412,38,2026
sp500,15min,full_history,causal_lorentzian,2026-06,-425.6252528733341,50,2026
sp500,15min,full_history,causal_lorentzian,2026-07,-68.04567421553205,47,2026
sp500,15min,full_history,causal_lorentzian,2026-08,-31.307564469145547,48,2026
sp500,15min,full_history,causal_euclidean,2024-01,-14.417880101468011,49,2024
sp500,15min,full_history,causal_euclidean,2024-02,-2.491351158820398,24,2024
sp500,15min,full_history,causal_euclidean,2024-03,-5.63808326257689,42,2024
sp500,15min,full_history,causal_euclidean,2024-04,-202.00354816967862,41,2024
sp500,15min,full_history,causal_euclidean,2024-05,-180.25339470119528,32,2024
sp500,15min,full_history,causal_euclidean,2024-06,-137.45434726660753,40,2024
sp500,15min,full_history,causal_euclidean,2024-07,18.466940711308325,50,2024
sp500,15min,full_history,causal_euclidean,2024-08,-17.847383927093443,43,2024
sp500,15min,full_history,causal_euclidean,2024-09,-133.00362369006734,35,2024
sp500,15min,full_history,causal_euclidean,2024-10,4.880527603977999,45,2024
sp500,15min,full_history,causal_euclidean,2024-11,29.11297635167932,37,2024
sp500,15min,full_history,causal_euclidean,2024-12,320.9495074227371,49,2024
sp500,15min,full_history,causal_euclidean,2025-01,-66.46668507778061,45,2025
sp500,15min,full_history,causal_euclidean,2025-02,-104.31816441695453,32,2025
sp500,15min,full_history,causal_euclidean,2025-03,-32.92157368556935,49,2025
sp500,15min,full_history,causal_euclidean,2025-04,-94.31622885626618,35,2025
sp500,15min,full_history,causal_euclidean,2025-05,-210.7430081145272,36,2025
sp500,15min,full_history,causal_euclidean,2025-06,0.1570405191188673,39,2025
sp500,15min,full_history,causal_euclidean,2025-07,12.350387990328857,49,2025
sp500,15min,full_history,causal_euclidean,2025-08,-28.602647394050027,37,2025
sp500,15min,full_history,causal_euclidean,2025-09,-20.41008477468653,43,2025
sp500,15min,full_history,causal_euclidean,2025-10,54.910648791659455,48,2025
sp500,15min,full_history,causal_euclidean,2025-11,214.39673776207172,47,2025
sp500,15min,full_history,causal_euclidean,2025-12,-30.49101577307182,42,2025
sp500,15min,full_history,causal_euclidean,2026-01,49.46258571430966,50,2026
sp500,15min,full_history,causal_euclidean,2026-02,-153.6407338527475,50,2026
sp500,15min,full_history,causal_euclidean,2026-03,-88.8923454886458,59,2026
sp500,15min,full_history,causal_euclidean,2026-04,19.067676519809496,42,2026
sp500,15min,full_history,causal_euclidean,2026-05,-30.056599973551997,38,2026
sp500,15min,full_history,causal_euclidean,2026-06,-259.3380238135272,47,2026
sp500,15min,full_history,causal_euclidean,2026-07,59.66157476753977,53,2026
sp500,15min,full_history,causal_euclidean,2026-08,10.124356449912835,50,2026
sp500,15min,full_history,simple_momentum4,2024-01,-49.60271225962792,67,2024
sp500,15min,full_history,simple_momentum4,2024-02,-2.752506696923313,52,2024
sp500,15min,full_history,simple_momentum4,2024-03,-119.504067459713,57,2024
sp500,15min,full_history,simple_momentum4,2024-04,64.20359033045114,59,2024
sp500,15min,full_history,simple_momentum4,2024-05,61.9969486712398,55,2024
sp500,15min,full_history,simple_momentum4,2024-06,-439.8872160717056,64,2024
sp500,15min,full_history,simple_momentum4,2024-07,7.2277013296876635,51,2024
sp500,15min,full_history,simple_momentum4,2024-08,8.71106412085054,63,2024
sp500,15min,full_history,simple_momentum4,2024-09,-72.32496691686633,69,2024
sp500,15min,full_history,simple_momentum4,2024-10,130.81655042456674,58,2024
sp500,15min,full_history,simple_momentum4,2024-11,229.42056800737694,57,2024
sp500,15min,full_history,simple_momentum4,2024-12,21.12123468580014,46,2024
sp500,15min,full_history,simple_momentum4,2025-01,-341.94665994715666,60,2025
sp500,15min,full_history,simple_momentum4,2025-02,-58.673599801879796,65,2025
sp500,15min,full_history,simple_momentum4,2025-03,181.76533999073285,54,2025
sp500,15min,full_history,simple_momentum4,2025-04,-976.3422011459951,51,2025
sp500,15min,full_history,simple_momentum4,2025-05,78.4528923819623,55,2025
sp500,15min,full_history,simple_momentum4,2025-06,-46.883871629987055,60,2025
sp500,15min,full_history,simple_momentum4,2025-07,-270.4119390566961,63,2025
sp500,15min,full_history,simple_momentum4,2025-08,-94.3513456789218,60,2025
sp500,15min,full_history,simple_momentum4,2025-09,-168.73937927772025,64,2025
sp500,15min,full_history,simple_momentum4,2025-10,20.841568566447222,69,2025
sp500,15min,full_history,simple_momentum4,2025-11,129.31519090077074,49,2025
sp500,15min,full_history,simple_momentum4,2025-12,-27.595632481867995,63,2025
sp500,15min,full_history,simple_momentum4,2026-01,-53.741889645690335,54,2026
sp500,15min,full_history,simple_momentum4,2026-02,-38.45769720979784,60,2026
sp500,15min,full_history,simple_momentum4,2026-03,-195.88834721470425,56,2026
sp500,15min,full_history,simple_momentum4,2026-04,-19.98501971241418,66,2026
sp500,15min,full_history,simple_momentum4,2026-05,-298.7147639900491,63,2026
sp500,15min,full_history,simple_momentum4,2026-06,-119.14865879576485,70,2026
