asset,timeframe,month,total_r,trades
sp500,15min,2024-01,2.6664772367590217,44
sp500,15min,2024-02,-3.0206144020168573,24
sp500,15min,2024-03,-16.397874696649346,34
sp500,15min,2024-04,8.196266311129573,35
sp500,15min,2024-05,-18.123188876078824,29
sp500,15min,2024-06,3.7864289560357065,39
sp500,15min,2024-07,23.964980770736346,45
sp500,15min,2024-08,-6.0447897719352115,40
sp500,15min,2024-09,-0.7739326393269519,40
sp500,15min,2024-10,5.580087826045705,35
sp500,15min,2024-11,2.9811469189998396,44
sp500,15min,2024-12,30.50902489113069,49
sp500,15min,2025-01,-2.529985795440851,44
sp500,15min,2025-02,-6.184339525543857,29
sp500,15min,2025-03,-4.451909767093768,44
sp500,15min,2025-04,-6.743301214996392,44
sp500,15min,2025-05,-12.799337793742648,36
sp500,15min,2025-06,-0.6692635333125795,41
sp500,15min,2025-07,8.728428048443885,52
sp500,15min,2025-08,-15.877948020202846,34
sp500,15min,2025-09,-3.0712900889314074,45
sp500,15min,2025-10,7.689213439967021,53
sp500,15min,2025-11,0.6275845283794359,43
sp500,15min,2025-12,-9.43050201933901,42
sp500,15min,2026-01,11.99863659181477,40
sp500,15min,2026-02,-6.779903915336378,52
sp500,15min,2026-03,15.584353113155458,49
sp500,15min,2026-04,-1.3706352784650602,39
sp500,15min,2026-05,-0.19078905215341568,38
sp500,15min,2026-06,3.7756532670759477,50
sp500,15min,2026-07,-6.492846706709071,46
sp500,15min,2026-08,9.913629353748048,44
sp500,30min,2024-01,6.907294436080416,29
sp500,30min,2024-02,6.162933081903253,20
sp500,30min,2024-03,-4.765913383578438,19
sp500,30min,2024-04,-1.7212860695265886,18
sp500,30min,2024-05,8.393245231420787,21
sp500,30min,2024-06,14.716566760004243,22
sp500,30min,2024-07,-8.730988560200908,35
sp500,30min,2024-08,4.476147589619526,27
sp500,30min,2024-09,-0.04227199968064399,18
sp500,30min,2024-10,1.892933533893087,23
sp500,30min,2024-11,0.5897505420616092,17
sp500,30min,2024-12,-4.423773617231356,16
sp500,30min,2025-01,-0.03603113227416621,17
sp500,30min,2025-02,-6.633416398205415,18
sp500,30min,2025-03,-2.260401285721835,31
sp500,30min,2025-04,9.056061027719249,22
sp500,30min,2025-05,0.7413633389633978,21
