year,equity_start,equity_end,pnl_usd,executed_trades,candidate_trades,return_percent,asset,timeframe,initial_balance_usd,risk_percent
2024,500.0,406.0044423124075,-93.99555768759248,144,285,-18.7991115375185,xauusd,30min,500,1
2025,406.0044423124075,445.83793263751124,39.83349032510374,27,281,9.81109716392048,xauusd,30min,500,1
2026,445.83793263751124,445.83793263751124,0.0,0,179,0.0,xauusd,30min,500,1
2024,500.0,391.98702449938975,-108.01297550061024,272,285,-21.602595100122045,xauusd,30min,500,2
2025,391.98702449938975,381.21104865607356,-10.775975843316225,122,281,-2.7490644255580343,xauusd,30min,500,2
2026,381.21104865607356,381.21104865607356,0.0,0,179,0.0,xauusd,30min,500,2
2024,500.0,278.84167807682803,-221.1583219231719,278,285,-44.23166438463439,xauusd,30min,500,3
2025,278.84167807682803,265.92364826957044,-12.91802980725759,129,281,-4.632747118850123,xauusd,30min,500,3
2026,265.92364826957044,265.92364826957044,0.0,0,179,0.0,xauusd,30min,500,3
2024,500.0,227.24221895850917,-272.7577810414909,278,285,-54.551556208298166,xauusd,30min,500,4
2025,227.24221895850917,276.83262150816097,49.59040254965178,154,281,21.822706527393223,xauusd,30min,500,4
2026,276.83262150816097,307.3088536756676,30.47623216750662,36,179,11.008902058389891,xauusd,30min,500,4
2024,500.0,190.10594118983545,-309.89405881016455,276,285,-61.978811762032905,xauusd,30min,500,5
2025,190.10594118983545,217.0578016498386,26.951860460003132,157,281,14.17728467154513,xauusd,30min,500,5
2026,217.0578016498386,241.9249314900078,24.867129840169113,36,179,11.456455216608742,xauusd,30min,500,5
2024,1000.0,822.3581669326145,-177.6418330673855,281,285,-17.764183306738545,xauusd,30min,1000,1
2025,822.3581669326145,777.4616512765026,-44.89651565611193,143,281,-5.459484378148183,xauusd,30min,1000,1
2026,777.4616512765026,777.4616512765026,0.0,0,179,0.0,xauusd,30min,1000,1
2024,1000.0,696.4273944452063,-303.5726055547936,285,285,-30.35726055547937,xauusd,30min,1000,2
2025,696.4273944452063,673.5796253492819,-22.847769095924562,254,281,-3.2807108505726768,xauusd,30min,1000,2
2026,673.5796253492819,638.17895005188,-35.40067529740189,50,179,-5.255603638403561,xauusd,30min,1000,2
2024,1000.0,506.82581939193096,-493.174180608069,285,285,-49.31741806080691,xauusd,30min,1000,3
2025,506.82581939193096,371.6172625498624,-135.20855684206848,200,281,-26.67751950843512,xauusd,30min,1000,3
2026,371.6172625498624,414.45856746130823,42.84130491144589,35,179,11.528340911153867,xauusd,30min,1000,3
2024,1000.0,362.75068637873164,-637.2493136212682,285,285,-63.72493136212684,xauusd,30min,1000,4
2025,362.75068637873164,280.3675266027702,-82.3831597759612,177,281,-22.71068336172598,xauusd,30min,1000,4
2026,280.3675266027702,310.077026872946,29.70950027017579,36,179,10.59662673140771,xauusd,30min,1000,4
2024,1000.0,193.0581053420118,-806.9418946579883,283,285,-80.69418946579883,xauusd,30min,1000,5
2025,193.0581053420118,217.31721010852937,24.25910476651771,159,281,12.565701255350747,xauusd,30min,1000,5
2026,217.31721010852937,242.18433994869838,24.867129840169113,36,179,11.442779809178582,xauusd,30min,1000,5
2024,3000.0,2484.464274521709,-515.5357254782909,285,285,-17.184524182609707,xauusd,30min,3000,1
2025,2484.464274521709,2403.258040436097,-81.2062340856119,281,281,-3.2685611509243873,xauusd,30min,3000,1
2026,2403.258040436097,2190.0178007359173,-213.24023970018015,154,179,-8.872964788312332,xauusd,30min,3000,1
2024,3000.0,1985.0422164093566,-1014.9577835906432,285,285,-33.83192611968811,xauusd,30min,3000,2
2025,1985.0422164093566,1526.1317024326452,-458.91051397671134,281,281,-23.11842590465465,xauusd,30min,3000,2
2026,1526.1317024326452,1353.6223074899026,-172.50939494274252,168,179,-11.303702994162535,xauusd,30min,3000,2
2024,3000.0,1447.5687897146381,-1552.431210285362,285,285,-51.747707009512055,xauusd,30min,3000,3
2025,1447.5687897146381,998.5940238875737,-448.9747658270645,281,281,-31.01578101276773,xauusd,30min,3000,3
2026,998.5940238875737,721.5304305796662,-277.0635933079077,158,179,-27.745368656352042,xauusd,30min,3000,3
2024,3000.0,981.2985848597332,-2018.7014151402664,285,285,-67.29004717134222,xauusd,30min,3000,4
2025,981.2985848597332,494.24357082486813,-487.05501403486454,280,281,-49.63372224820692,xauusd,30min,3000,4
2026,494.24357082486813,328.07785100209094,-166.16571982277682,90,179,-33.62020866461749,xauusd,30min,3000,4
2024,3000.0,644.7924467119788,-2355.2075532880217,285,285,-78.50691844293405,xauusd,30min,3000,5
2025,644.7924467119788,260.3969394341393,-384.39550727783967,273,281,-59.61538619721834,xauusd,30min,3000,5
2026,260.3969394341393,230.62617542785483,-29.770764006284658,35,179,-11.432839445416842,xauusd,30min,3000,5
