month,pnl_usd,executed_trades,candidate_trades,equity_end,equity_start,return_percent,asset,timeframe,initial_balance_usd,risk_percent
2024-01,-26.555590522174747,33,34,473.4444094778253,500.0,-5.311118104434949,xauusd,30min,500,1
2024-02,-22.32088610110801,22,22,451.12352337671723,473.4444094778253,-4.7145738030207855,xauusd,30min,500,1
2024-03,-11.427302411703405,16,22,439.6962209650138,451.12352337671723,-2.5330761575385354,xauusd,30min,500,1
2024-04,-8.716647725696731,4,25,430.9795732393171,439.6962209650138,-1.98242498117588,xauusd,30min,500,1
2024-05,11.06166111093653,10,24,442.0412343502536,430.9795732393171,2.5666323412488365,xauusd,30min,500,1
2024-06,-16.668587165234403,11,23,425.3726471850192,442.0412343502536,-3.7708217853782764,xauusd,30min,500,1
2024-07,-5.166125387084669,9,21,420.20652179793456,425.3726471850192,-1.2144940257142631,xauusd,30min,500,1
2024-08,-8.885827084101422,6,18,411.3206947138331,420.20652179793456,-2.1146333108019597,xauusd,30min,500,1
2024-09,-10.396311776897148,14,29,400.924382936936,411.3206947138331,-2.5275440575948025,xauusd,30min,500,1
2024-10,23.017710022024964,9,22,423.942092958961,400.924382936936,5.741159929812892,xauusd,30min,500,1
2024-11,-3.4132955457971175,3,21,420.52879741316383,423.942092958961,-0.8051324939152801,xauusd,30min,500,1
2024-12,-14.52435510075633,7,24,406.0044423124075,420.52879741316383,-3.453831269130981,xauusd,30min,500,1
2025-01,32.60618696008732,15,35,438.61062927249486,406.0044423124075,8.030992659680777,xauusd,30min,500,1
2025-02,6.703153463782982,2,21,445.3137827362778,438.61062927249486,1.5282697263632719,xauusd,30min,500,1
2025-03,-8.365213396641686,5,19,436.94856933963615,445.3137827362778,-1.878498649927416,xauusd,30min,500,1
2025-04,0.0,0,25,436.94856933963615,436.94856933963615,0.0,xauusd,30min,500,1
2025-05,0.0,0,25,436.94856933963615,436.94856933963615,0.0,xauusd,30min,500,1
2025-06,0.0,0,30,436.94856933963615,436.94856933963615,0.0,xauusd,30min,500,1
2025-07,-4.074877170100372,1,30,432.87369216953573,436.94856933963615,-0.9325759267867076,xauusd,30min,500,1
2025-08,12.96424046797549,4,17,445.83793263751124,432.87369216953573,2.9949245478512525,xauusd,30min,500,1
2025-09,0.0,0,20,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2025-10,0.0,0,20,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2025-11,0.0,0,15,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2025-12,0.0,0,24,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2026-01,0.0,0,18,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2026-02,0.0,0,14,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2026-03,0.0,0,23,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2026-04,0.0,0,26,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2026-05,0.0,0,24,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2026-06,0.0,0,18,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2026-07,0.0,0,25,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2026-08,0.0,0,31,445.83793263751124,445.83793263751124,0.0,xauusd,30min,500,1
2024-01,-66.48184724843634,34,34,433.51815275156366,500.0,-13.296369449687267,xauusd,30min,500,2
2024-02,-49.5932661329492,22,22,383.92488661861444,433.51815275156366,-11.439720763289381,xauusd,30min,500,2
2024-03,-3.1988961875089323,22,22,380.7259904311055,383.92488661861444,-0.8332088642866933,xauusd,30min,500,2
2024-04,-26.155464537659505,17,25,354.570525893446,380.7259904311055,-6.8698920470449165,xauusd,30min,500,2
2024-05,7.527155471923121,24,24,362.0976813653691,354.570525893446,2.122893732623774,xauusd,30min,500,2
2024-06,-9.419587921102124,23,23,352.678093444267,362.0976813653691,-2.6013941557381677,xauusd,30min,500,2
2024-07,24.370279328023276,21,21,377.0483727722903,352.678093444267,6.910063250604042,xauusd,30min,500,2
2024-08,-6.564020637823508,16,18,370.4843521344668,377.0483727722903,-1.7408961586442646,xauusd,30min,500,2
2024-09,-62.59707121592268,27,29,307.8872809185441,370.4843521344668,-16.89600946849252,xauusd,30min,500,2
2024-10,48.64656630087207,22,22,356.53384721941615,307.8872809185441,15.800122095248941,xauusd,30min,500,2
2024-11,69.76893921946319,20,21,426.30278643887937,356.53384721941615,19.56867202471421,xauusd,30min,500,2
2024-12,-34.315761939489605,24,24,391.98702449938975,426.30278643887937,-8.049621778489028,xauusd,30min,500,2
2025-01,-37.972293022737745,35,35,354.014731476652,391.98702449938975,-9.687130096010833,xauusd,30min,500,2
2025-02,-25.58365487070973,17,21,328.4310766059423,354.014731476652,-7.226720414711618,xauusd,30min,500,2
2025-03,-22.57977913223231,15,19,305.85129747370996,328.4310766059423,-6.875043423288457,xauusd,30min,500,2
2025-04,0.0,0,25,305.85129747370996,305.85129747370996,0.0,xauusd,30min,500,2
2025-05,20.093710089716005,1,25,325.945007563426,305.85129747370996,6.569764541032623,xauusd,30min,500,2
2025-06,2.515355540141208,3,30,328.46036310356715,325.945007563426,0.7717116328746783,xauusd,30min,500,2
2025-07,-0.01257216123779159,21,30,328.4477909423294,328.46036310356715,-0.00382760376899037,xauusd,30min,500,2
2025-08,58.25969442203651,15,17,386.7074853643659,328.4477909423294,17.73788590719006,xauusd,30min,500,2
2025-09,23.848726058752142,11,20,410.55621142311804,386.7074853643659,6.167122944693261,xauusd,30min,500,2
2025-10,-7.842413438196509,1,20,402.71379798492154,410.55621142311804,-1.9101923731739963,xauusd,30min,500,2
2025-11,0.0,0,15,402.71379798492154,402.71379798492154,0.0,xauusd,30min,500,2
2025-12,-21.502749328848004,3,24,381.21104865607356,402.71379798492154,-5.339461780659701,xauusd,30min,500,2
2026-01,0.0,0,18,381.21104865607356,381.21104865607356,0.0,xauusd,30min,500,2
2026-02,0.0,0,14,381.21104865607356,381.21104865607356,0.0,xauusd,30min,500,2
2026-03,0.0,0,23,381.21104865607356,381.21104865607356,0.0,xauusd,30min,500,2
2026-04,0.0,0,26,381.21104865607356,381.21104865607356,0.0,xauusd,30min,500,2
2026-05,0.0,0,24,381.21104865607356,381.21104865607356,0.0,xauusd,30min,500,2
2026-06,0.0,0,18,381.21104865607356,381.21104865607356,0.0,xauusd,30min,500,2
2026-07,0.0,0,25,381.21104865607356,381.21104865607356,0.0,xauusd,30min,500,2
2026-08,0.0,0,31,381.21104865607356,381.21104865607356,0.0,xauusd,30min,500,2
2024-01,-101.3570029907813,34,34,398.6429970092187,500.0,-20.27140059815626,xauusd,30min,500,3
2024-02,-69.99794322296738,22,22,328.6450537862513,398.6429970092187,-17.559055031223505,xauusd,30min,500,3
2024-03,-20.926126432676394,22,22,307.71892735357494,328.6450537862513,-6.367394303243223,xauusd,30min,500,3
2024-04,-52.017854629233014,24,25,255.70107272434188,307.71892735357494,-16.90434029410986,xauusd,30min,500,3
2024-05,4.03661541341376,24,24,259.73768813775564,255.70107272434188,1.578646256899136,xauusd,30min,500,3
2024-06,-20.482917130802367,23,23,239.25477100695326,259.73768813775564,-7.886001172051303,xauusd,30min,500,3
2024-07,24.370279328023276,21,21,263.62505033497655,239.25477100695326,10.185911539174707,xauusd,30min,500,3
2024-08,-6.564020637823508,16,18,257.061029697153,263.62505033497655,-2.489907779811858,xauusd,30min,500,3
2024-09,-62.59707121592268,27,29,194.46395848123035,257.061029697153,-24.351054412903082,xauusd,30min,500,3
2024-10,45.446448888645385,21,22,239.9104073698757,194.46395848123035,23.370114052795994,xauusd,30min,500,3
2024-11,77.42400112526639,20,21,317.3344084951421,239.9104073698757,32.2720477090016,xauusd,30min,500,3
2024-12,-38.49273041831407,24,24,278.84167807682803,317.3344084951421,-12.13002100870613,xauusd,30min,500,3
2025-01,-34.92362924800115,35,35,243.9180488288269,278.84167807682803,-12.524537037959869,xauusd,30min,500,3
2025-02,-25.58365487070973,17,21,218.33439395811718,243.9180488288269,-10.488627222769988,xauusd,30min,500,3
2025-03,-22.57977913223231,15,19,195.75461482588486,218.33439395811718,-10.341833333214447,xauusd,30min,500,3
2025-04,0.0,0,25,195.75461482588486,195.75461482588486,0.0,xauusd,30min,500,3
2025-05,20.093710089716005,1,25,215.84832491560087,195.75461482588486,10.264744004931112,xauusd,30min,500,3
2025-06,2.515355540141208,3,30,218.3636804557421,215.84832491560087,1.1653347512077015,xauusd,30min,500,3
2025-07,0.47504060890708644,23,30,218.83872106464918,218.3636804557421,0.21754561377406698,xauusd,30min,500,3
2025-08,58.24309209384871,16,17,277.0818131584979,218.83872106464918,26.61461911790399,xauusd,30min,500,3
